cd_conta,conta,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,157177.000,172516.000,156486.000,184488.000,180518.000,217104.000,188593.000,202258.000,199013.000,243333.000,620260.000,635882.000,616111.000,638825.000,606187.000,616270.000,482034.000,565273.000,635193.000,711541.000,586297.000,655908.000,656816.000,816611.000,957545.000,956857.000,1003790.000,1220189.000,2173169.000,1905282.000,1950583.000,1991929.000,2302777.000,2298489.000,2373112.000,2293665.000,2543864.000,2615521.000,2532306.000,2499905.000,2445312.000,2558534.000,2445103.000,2413891.000
2.01,Passivo Circulante,31735.000,33990.000,40515.000,41582.000,39025.000,43744.000,52997.000,69257.000,67509.000,69968.000,140107.000,202677.000,146149.000,139518.000,192973.000,140768.000,205979.000,230577.000,287793.000,297795.000,255528.000,284248.000,249341.000,344082.000,401837.000,333490.000,351575.000,295744.000,761800.000,323939.000,477373.000,453200.000,490924.000,438973.000,671411.000,579951.000,595364.000,588589.000,544990.000,676509.000,718264.000,618021.000,596301.000,523419.000
2.01.01,Obrigações Sociais e Trabalhistas,11357.000,6399.000,11913.000,10522.000,12866.000,6307.000,9315.000,9544.000,23516.000,11012.000,26873.000,29556.000,23190.000,14638.000,11778.000,16576.000,19448.000,12430.000,14324.000,20308.000,33060.000,28030.000,29217.000,37432.000,42838.000,35473.000,31718.000,35058.000,46546.000,38381.000,43877.000,50162.000,48688.000,42709.000,36994.000,47403.000,46707.000,37625.000,37581.000,43392.000,43737.000,35283.000,38193.000,46195.000
2.01.02,Fornecedores,7103.000,8479.000,5710.000,3287.000,1633.000,2988.000,5297.000,23392.000,3749.000,25673.000,7893.000,9990.000,41360.000,37997.000,36342.000,38592.000,35250.000,35695.000,35140.000,39365.000,42363.000,46810.000,38335.000,50384.000,54367.000,66959.000,60601.000,34678.000,26071.000,42270.000,69725.000,49917.000,169573.000,100403.000,198290.000,161145.000,142064.000,163934.000,195474.000,203688.000,152538.000,178460.000,178623.000,166641.000
2.01.03,Obrigações Fiscais,3301.000,9110.000,9479.000,10269.000,7521.000,14145.000,20816.000,17661.000,12229.000,17244.000,19799.000,20577.000,11966.000,19411.000,23731.000,24336.000,17561.000,31891.000,23608.000,27313.000,29637.000,41656.000,51886.000,96098.000,67462.000,26077.000,39941.000,42926.000,39787.000,18484.000,26045.000,25540.000,22316.000,23969.000,21806.000,40804.000,45337.000,38937.000,42642.000,53018.000,41523.000,41692.000,51866.000,51553.000
2.01.04,Empréstimos e Financiamentos,300.000,300.000,270.000,186.000,837.000,1277.000,1301.000,946.000,557.000,407.000,0.000,45.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,106.000,92.000,110.000,82.000,0.000,0.000,0.000,666.000,6483.000,2577.000,10696.000,8667.000,28645.000,23917.000,31010.000,26361.000,37132.000,32799.000,45536.000,150487.000,160949.000,43325.000,53440.000,43075.000
2.01.05,Outras Obrigações,3832.000,2832.000,3181.000,2929.000,2970.000,3001.000,1194.000,1148.000,27188.000,0.000,85542.000,142509.000,58216.000,55401.000,108084.000,46815.000,122303.000,136016.000,196453.000,196360.000,150362.000,167660.000,129793.000,160086.000,237170.000,204981.000,219315.000,182416.000,642913.000,222227.000,327030.000,318914.000,221702.000,247975.000,383311.000,304238.000,324124.000,315294.000,223757.000,225924.000,319517.000,319261.000,274179.000,215955.000
2.01.06,Provisões,5842.000,6870.000,9962.000,14389.000,13198.000,16026.000,15074.000,16566.000,270.000,15632.000,0.000,0.000,11417.000,12071.000,13038.000,14449.000,11417.000,14545.000,18268.000,14449.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,26515.000,24387.000,24154.000,24167.000,24871.000,22791.000,8937.000,8726.000,9385.000,3761.000,347841.000,295183.000,302868.000,300184.000,247938.000,257372.000,99187.000,101198.000,152506.000,156568.000,133890.000,123309.000,125030.000,109159.000,258069.000,262514.000,218291.000,512912.000,603173.000,730963.000,566542.000,564590.000,906973.000,922392.000,735075.000,767219.000,792921.000,810825.000,739190.000,554979.000,569661.000,743747.000,582721.000,587108.000
2.02.01,Empréstimos e Financiamentos,75.000,0.000,0.000,0.000,493.000,0.000,0.000,0.000,0.000,555.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,59.000,42.000,0.000,0.000,0.000,0.000,0.000,222476.000,222160.000,222353.000,222548.000,261016.000,347490.000,340802.000,333137.000,327768.000,318983.000,312914.000,309963.000,188330.000,185257.000,359259.000,348950.000,340124.000
