Espécie_Acao,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2025T4
ON,111505680,111505680,111505680,111505680,111505680,4641274,4641274,4115057,4115057,4115057,4115057,4115057,4115057,4115057,4115057,4115057
PN,71014320,71014320,71014320,71014320,71014320,2955875,2955875,710143,710143,710143,710143,710143,710143,710143,710143,710143
TOTAL,182520000,182520000,182520000,182520000,182520000,7597149,7597149,4825200,4825200,4825200,4825200,710143,710143,4825200,4825200,4825200
