codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,409156.4,5090134.57,4474969.35,4380675.65,661782.25,416438.58,461633.47
P_L,P/L,Valuation,x,3.3602,12.8814,17.2291,12.1714,-0.4675,-0.4179,-0.4633
P_VPA,P/VPA,Valuation,x,0.3407,2.3664,1.9623,1.3318,0.3435,0.2067,0.2291
EV_EBITDA,EV/EBITDA,Valuation,x,2.6401,10.184,11.2811,10.3796,-3.9445,-9.1556,-9.2843
EV_EBIT,EV/EBIT,Valuation,x,2.6401,10.184,11.2811,10.3796,-3.9445,-9.1556,-9.2843
EV_RECEITA,EV/Receita,Valuation,x,0.1179,0.8062,0.6621,0.596,0.2939,0.2834,0.2874
DY,Dividend Yield,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAYOUT,Payout,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROE,ROE,Rentabilidade,%,10.1385,23.577,11.7222,12.9238,-54.2762,-39.6254,-39.6254
ROA,ROA,Rentabilidade,%,2.6498,6.8768,3.1565,3.6454,-14.3473,-10.2736,-10.2736
ROIC,ROIC,Rentabilidade,%,9.9109,15.6625,9.42,7.6169,-12.1996,-4.816,-4.816
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,4.4641,7.9164,5.8694,5.7421,-7.4502,-3.0952,-3.0952
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,2.759,6.3542,2.9696,3.2472,-12.22,-8.7778,-8.7778
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.5634,-0.1554,2.5642,3.4966,-3.1776,-7.9705,-7.9705
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.0924,-0.0356,0.5772,0.6766,1.4234,1.3901,1.3901
ICJ,ICJ,Endividamento,x,0.5606,1.2729,0.53,0.9638,-0.9996,-0.3532,-0.3532
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,64.0983,11.748,8.2667,12.1399,10.4006,22.0919,22.0919
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.3902,2.1595,1.7519,1.9547,1.8436,1.4888,1.4888
LIQ_SECA,Liquidez Seca,Liquidez,x,1.0435,1.714,1.3496,1.3069,1.2413,0.9553,0.9553
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.0275,1.0964,0.8915,1.0127,0.8467,0.8528,0.8528
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.9604,0.9016,0.9149,1.0881,1.2135,1.2525,1.2525
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,56.936,53.9351,52.4353,89.8477,60.1428,60.1867,60.1867
PME,PME,Eficiência,dias,68.2745,66.5176,63.3633,76.2454,60.2187,60.494,60.494
NCG_RECEITA,NCG/Receita,Eficiência,%,11.4496,8.1899,7.7419,20.8261,14.5062,13.4982,13.4982
