cd_conta,conta,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,261641.000,469564.000,461921.000,489467.000,867023.000,904331.000,924936.000,996366.000,944084.000,996273.000,982166.000,1225563.000,1175777.000,1338461.000,1442235.000,1423620.000,1387852.000,1417217.000,1423137.000,1365312.000,1338152.000,1368591.000,1489591.000,1497996.000,1446470.000,1989933.000,1970619.000,2160950.000,2400023.000,3356900.000,3445264.000,3702603.000,4582439.000,4982403.000,10192297.000,10317014.000,9882678.000,10818499.000,10477833.000,10419486.000,10732094.000,10572000.000,10055984.000,9921427.000,9655477.000,9235059.000,9774881.000,9954648.000,9688873.000,9965999.000,10000011.000,10090277.000
2.01,Passivo Circulante,70577.000,88212.000,99139.000,117683.000,116541.000,119599.000,122837.000,155973.000,173698.000,172772.000,187978.000,253101.000,238064.000,259216.000,235216.000,252658.000,268289.000,270286.000,283165.000,218253.000,221467.000,231211.000,221134.000,263510.000,231582.000,243340.000,258782.000,470655.000,339926.000,336187.000,381583.000,442671.000,441043.000,495523.000,1536637.000,1235287.000,1235118.000,1323139.000,1793024.000,1865565.000,1821441.000,2335077.000,1806571.000,1732136.000,1692177.000,1724919.000,1267541.000,1359837.000,962892.000,1127626.000,1060561.000,1328457.000
2.01.01,Obrigações Sociais e Trabalhistas,19016.000,18699.000,27089.000,33663.000,27356.000,25810.000,35314.000,59916.000,46892.000,49456.000,63315.000,63917.000,46358.000,49859.000,67951.000,75111.000,58359.000,52727.000,74592.000,78199.000,62564.000,61317.000,81299.000,95646.000,69511.000,62507.000,79906.000,96340.000,75569.000,83734.000,130480.000,142704.000,97384.000,115971.000,239238.000,257768.000,209086.000,200205.000,216547.000,238216.000,168336.000,167397.000,256912.000,276821.000,204724.000,228864.000,240414.000,268386.000,175656.000,194289.000,236033.000,261589.000
2.01.02,Fornecedores,8596.000,13123.000,13430.000,14669.000,18731.000,20541.000,17446.000,21116.000,16557.000,22104.000,25051.000,22116.000,19606.000,19085.000,21875.000,22491.000,23688.000,21222.000,23077.000,24808.000,33773.000,34034.000,28309.000,28242.000,30990.000,27087.000,28925.000,31893.000,31982.000,41953.000,44382.000,43080.000,48829.000,46082.000,137394.000,141535.000,186207.000,196413.000,158862.000,188128.000,209980.000,217435.000,208075.000,223464.000,176860.000,221735.000,202823.000,196149.000,210564.000,237757.000,203414.000,218292.000
2.01.03,Obrigações Fiscais,4018.000,3953.000,4637.000,4577.000,5319.000,6588.000,6482.000,7379.000,10112.000,7729.000,8465.000,9176.000,10690.000,8511.000,8872.000,9462.000,14772.000,11671.000,13517.000,12683.000,17485.000,13270.000,15652.000,13170.000,18820.000,12916.000,14806.000,14339.000,20594.000,17242.000,21867.000,27629.000,25316.000,22679.000,42496.000,43944.000,56952.000,58773.000,58223.000,59226.000,53619.000,52578.000,50010.000,45693.000,53347.000,46283.000,45936.000,44558.000,50469.000,41503.000,42700.000,43053.000
2.01.04,Empréstimos e Financiamentos,12227.000,11458.000,11467.000,20563.000,24835.000,26790.000,30202.000,29120.000,28488.000,31041.000,62352.000,126838.000,124192.000,138213.000,101000.000,97326.000,124126.000,117016.000,121824.000,52315.000,52512.000,56856.000,63059.000,75806.000,80539.000,97697.000,88752.000,226953.000,128123.000,120070.000,111161.000,123638.000,170038.000,176363.000,710698.000,517153.000,527897.000,574038.000,1096848.000,1059740.000,1058193.000,1503428.000,1019411.000,873989.000,1020344.000,921628.000,505131.000,555768.000,288374.000,354005.000,371094.000,532910.000
2.01.05,Outras Obrigações,26720.000,40979.000,42516.000,44211.000,40300.000,39870.000,33393.000,38442.000,71649.000,62442.000,28795.000,31054.000,37218.000,43548.000,35518.000,48268.000,47344.000,67650.000,50155.000,50248.000,55133.000,65734.000,32815.000,50646.000,31722.000,43133.000,46393.000,101130.000,83658.000,73188.000,73693.000,105620.000,99476.000,134428.000,406811.000,274887.000,254976.000,293710.000,262544.000,320255.000,331313.000,394239.000,272163.000,312169.000,236902.000,306409.000,273237.000,294976.000,237829.000,300072.000,207320.000,272613.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,172704.000,309517.000,314262.000,305430.000,273466.000,264607.000,254881.000,249704.000,174084.000,163363.000,158202.000,306325.000,295595.000,392791.000,536016.000,494391.000,483871.000,458321.000,443690.000,441225.000,420244.000,400992.000,547167.000,549989.000,549639.000,1043225.000,1025388.000,1006534.000,1369662.000,1355575.000,1407616.000,1597397.000,1614920.000,1903667.000,6062603.000,6475898.000,6235199.000,6260806.000,5597969.000,5499647.000,5709185.000,5094722.000,5196358.000,5206433.000,5105957.000,4555887.000,5549421.000,5823069.000,5945747.000,5918244.000,5987122.000,5855311.000
