cd_conta,conta,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,17722.000,12772.000,-5359.000,21854.000,22701.000,28380.000,13463.000,1448.000,33477.000,14588.000,51973.000,-12525.000,17536.000,-52901.000,37708.000,-38111.000,-10920.000,5221.000,115586.000,12197.000,27974.000,8547.000,109076.000,11654.000,31652.000,110620.000,29152.000,-5677.000,42259.000,22519.000,54063.000,41297.000,59154.000,42838.000,74314.000,-51778.000,131671.000,118390.000,175861.000,-48748.000,102954.000,79861.000,192391.000,-147253.000,60632.000,188467.000,228572.000,23099.000,146215.000,172582.000,361542.000,-71979.000,269175.000,328164.000,737002.000
6.01.DA,Depreciação e Amortização,1973.000,2412.000,2275.000,2579.000,2547.000,3355.000,3632.000,2978.000,3477.000,4002.000,6683.000,6992.000,7110.000,7304.000,7624.000,5824.000,8515.000,18717.000,28900.000,-14011.000,10880.000,13620.000,13287.000,13507.000,12859.000,13898.000,13482.000,14081.000,28662.000,2490.000,59572.000,-24405.000,35750.000,6541.000,68871.000,-22859.000,26093.000,53076.000,198869.000,144873.000,89219.000,89184.000,250120.000,144485.000,90369.000,91636.000,220723.000,131703.000,91628.000,92426.000,184898.000,112083.000,70135.000,139645.000,203964.000
6.02,Caixa Líquido Atividades de Investimento,-598.000,-47039.000,33929.000,-20668.000,-54748.000,-73424.000,-15104.000,-372336.000,-25537.000,624.000,-29869.000,53692.000,6488.000,58000.000,-214971.000,54729.000,24786.000,-41455.000,-77243.000,51468.000,-25206.000,23795.000,-17912.000,2836.000,-20655.000,-104588.000,-104023.000,89536.000,-50404.000,11298.000,-94817.000,-241068.000,-923804.000,66109.000,-46297.000,-773334.000,-77851.000,-2412493.000,-51030.000,218172.000,123951.000,33206.000,102681.000,-221569.000,77952.000,-154506.000,278538.000,-201475.000,429856.000,-668916.000,-417117.000,160722.000,-170606.000,-313181.000,-595682.000
6.03,Caixa Líquido Atividades de Financiamento,-14877.000,92316.000,-49202.000,-36196.000,63010.000,28903.000,-5792.000,370231.000,-10776.000,-17418.000,-10485.000,-44079.000,-14231.000,-16005.000,181424.000,-10053.000,-14869.000,33291.000,-40400.000,-43574.000,-13954.000,-29905.000,-84435.000,-18120.000,-18577.000,103049.000,-37203.000,-7697.000,-46860.000,-48012.000,38402.000,203368.000,869541.000,-103475.000,14400.000,813963.000,-64770.000,2373052.000,-91094.000,-175095.000,-167044.000,-195938.000,-248995.000,598938.000,-141238.000,-392276.000,-122831.000,-127954.000,-569011.000,522282.000,-16616.000,-89370.000,-72818.000,-11434.000,-127932.000
6.04,Variação Cambial s/ Caixa e Equivalentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.05,Aumento (Redução) de Caixa e Equivalentes,2247.000,58049.000,-20632.000,-35010.000,30963.000,-16141.000,-7433.000,-657.000,-2836.000,-2206.000,11619.000,-2912.000,9793.000,-10906.000,4161.000,6565.000,-1003.000,-2943.000,-2057.000,20091.000,-11186.000,2437.000,6729.000,-3630.000,-7580.000,109081.000,-112074.000,76162.000,-55005.000,-14195.000,-2352.000,3597.000,4891.000,5472.000,42417.000,-11149.000,-10950.000,78949.000,33737.000,-5671.000,59861.000,-82871.000,46077.000,230116.000,-2654.000,-358315.000,384279.000,-306330.000,7060.000,25948.000,-72191.000,-627.000,25751.000,3549.000,13388.000
