especie,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,80929141,82866371,82866371,80944571,80944571,78556015,111122935,403868805,403868805,403868805,403868805,403868805,ON
TOTAL,80929141,82866371,82866371,80944571,80944571,78556015,111122935,403868805,403868805,403868805,403868805,403868805,TOTAL
