cd_conta,conta,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,732827.0,831845.0,802879.0,824875.0,866359.0,905724.0,893514.0,837877.0,880221.0,914712.0,928509.0,988892.0,998084.0,1032741.0,1137381.0,1113855.0,1106209.0
1.01,Ativo Circulante,499316.0,598173.0,571341.0,589069.0,624342.0,656943.0,643671.0,588255.0,627752.0,655161.0,671441.0,732842.0,740722.0,773171.0,807739.0,778935.0,752868.0
1.01.01,Caixa e Equivalentes de Caixa,41613.0,79880.0,71642.0,83282.0,68808.0,64182.0,55718.0,18979.0,37980.0,74064.0,88554.0,177221.0,111842.0,101282.0,152121.0,153768.0,117118.0
1.01.02,Aplicações Financeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.03,Contas a Receber,130098.0,115904.0,107802.0,123944.0,117243.0,146833.0,151028.0,156566.0,146188.0,165807.0,153501.0,116308.0,126837.0,164828.0,136794.0,136229.0,147507.0
1.01.04,Estoques,287502.0,326367.0,354029.0,353801.0,381131.0,376370.0,379616.0,377412.0,397607.0,383727.0,380354.0,361419.0,410787.0,395718.0,412218.0,401387.0,416806.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,37965.0,30842.0,22690.0,13164.0,15301.0,17921.0,9004.0,7704.0,6723.0,6449.0,7611.0,9516.0,12925.0,6931.0,8688.0,10249.0,14046.0
1.01.07,Despesas Antecipadas,0.0,7305.0,0.0,0.0,0.0,10793.0,29173.0,14613.0,19647.0,7011.0,9515.0,9298.0,11405.0,102515.0,96681.0,75758.0,55940.0
1.01.08,Outros Ativos Circulantes,2138.0,37875.0,15178.0,14878.0,41859.0,40844.0,19132.0,12981.0,19607.0,18103.0,31906.0,59080.0,66926.0,1897.0,1237.0,1544.0,1451.0
1.02,Ativo Não Circulante,233511.0,233672.0,231538.0,235806.0,242017.0,248781.0,249843.0,249622.0,252469.0,259551.0,257068.0,256050.0,257362.0,259570.0,329642.0,334920.0,353341.0
1.02.01,Ativo Realizável a Longo Prazo,15402.0,16381.0,14772.0,14336.0,14562.0,17776.0,17960.0,15480.0,17896.0,17633.0,17212.0,16366.0,16424.0,19812.0,90133.0,91337.0,19671.0
1.02.02,Investimentos,13.0,14.0,16.0,18.0,21.0,24.0,26.0,29.0,32.0,35.0,38.0,41.0,44.0,45.0,46.0,47.0,74651.0
1.02.03,Imobilizado,194281.0,193462.0,192935.0,197637.0,203619.0,207166.0,208042.0,210298.0,210726.0,218068.0,216003.0,215828.0,217079.0,215898.0,215648.0,219721.0,235204.0
1.02.04,Intangível,23815.0,23815.0,23815.0,23815.0,23815.0,23815.0,23815.0,23815.0,23815.0,23815.0,23815.0,23815.0,23815.0,23815.0,23815.0,23815.0,23815.0
