codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,62.2205,259.6372,48.0916,48.5191,28.0301,13.2502,19.0221,20.2565
P_VPA,P/VPA,Valuation,x,6.9621,8.1173,5.2636,2.5515,2.4367,1.9685,1.2353,1.3154
EV_EBITDA,EV/EBITDA,Valuation,x,,49.1069,18.855,11.5817,8.6244,4.9824,2.8154,2.9997
EV_EBIT,EV/EBIT,Valuation,x,,74.4377,25.1702,15.7527,10.949,7.0957,3.9245,4.1814
EV_RECEITA,EV/Receita,Valuation,x,,8.6868,4.5302,2.6718,1.3102,1.044,0.6508,0.6934
DY,Dividend Yield,Valuation,%,,,1.7379,0.6332,0.5849,1.1335,2.105,1.9767
PAYOUT,Payout,Valuation,%,,,80.0286,29.5334,16.0709,15.1437,16.3254,16.3254
ROE,ROE,Rentabilidade,%,21.8948,4.7256,11.6996,6.6869,9.0112,15.5691,16.6035,16.6035
ROA,ROA,Rentabilidade,%,4.4794,1.2716,3.4191,1.7415,2.3122,4.0781,4.4133,4.4133
ROIC,ROIC,Rentabilidade,%,11.3946,4.8645,8.1374,10.0463,13.7618,18.2318,20.8173,20.8173
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,30.1928,17.6896,24.0264,23.069,15.1914,20.9533,23.1141,23.1141
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,8.9454,3.2747,8.2315,5.4913,4.5448,7.7794,8.4642,8.4642
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,2.6448,3.3087,3.0784,0.4784,0.404,0.022,-0.0247,-0.0247
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,1.9545,0.5864,1.0271,0.1099,0.1198,0.0087,-0.0107,-0.0107
ICJ,ICJ,Endividamento,x,1.0498,0.1756,0.5001,0.4722,0.4513,0.715,0.6456,0.6456
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,3.7969,2.7694,5.6266,15.1234,8.4382,10.0724,4.3784,4.3784
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,3.613,5.8098,4.2512,2.4891,3.0289,2.8765,3.1094,3.1094
LIQ_SECA,Liquidez Seca,Liquidez,x,3.4884,5.6523,4.1084,2.4408,2.9793,2.8253,3.0525,3.0525
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.5293,0.8337,0.722,0.8087,0.8381,0.8675,0.8894,0.8894
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.5008,0.3073,0.3884,0.2485,0.5148,0.4929,0.4926,0.4926
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,105.3476,125.0026,127.7033,97.5609,63.186,61.9241,61.5901,61.5901
PME,PME,Eficiência,dias,12.275,19.0939,16.9976,16.3687,6.5265,7.9943,8.9426,8.9426
NCG_RECEITA,NCG/Receita,Eficiência,%,21.406,24.9943,28.167,-1.9119,0.1571,-2.4063,-3.5544,-3.5544
