especie,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,919824834,1985327155,2010367155,2289292590,2289292590,2289292590,ON
TOTAL,919824834,1985327155,2010367155,2289292590,2289292590,2289292590,TOTAL
