cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
2,Passivo Total,3135070.000,3647665.000,3560326.000,3906550.000,3943761.000,3995193.000,4108591.000,4185149.000,3962095.000,4336045.000,4566611.000,4723358.000,4690095.000,4908595.000,5070961.000,4932775.000,4798379.000,4879194.000,4754103.000,4635421.000,3712812.000,3670805.000,3613335.000,3508156.000,3128240.000,2941591.000,2744894.000,2555619.000,2319137.000,2240189.000,2160893.000,2042402.000,1936500.000,1864731.000,1694354.000,1893360.000,1718538.000,1617758.000,1621863.000,1689063.000,1743807.000,1765197.000,1598141.000,1564345.000,1556408.000,1563632.000,1538453.000,1545028.000,1607828.000,1564420.000,1567755.000,1550292.000,1527112.000,1586572.000,1526075.000,1450086.000,1339070.000,1255109.000,1147146.000
2.01,Passivo Circulante,856221.000,1029619.000,1043172.000,1125291.000,1066987.000,1027034.000,1085918.000,1247281.000,1256796.000,1296110.000,1221911.000,1625812.000,1620124.000,1862230.000,1859573.000,1733234.000,1833577.000,1921648.000,1547415.000,1723745.000,1258696.000,1223046.000,1306732.000,1224890.000,1052165.000,1049307.000,787521.000,687672.000,599545.000,569328.000,564508.000,567744.000,528930.000,515194.000,537593.000,468607.000,351773.000,328514.000,316878.000,332087.000,299867.000,319518.000,241377.000,251640.000,244539.000,251899.000,236740.000,254894.000,236788.000,237879.000,234925.000,269256.000,388614.000,377998.000,391078.000,400956.000,405752.000,419366.000,736304.000
2.01.01,Obrigações Sociais e Trabalhistas,22043.000,23733.000,18899.000,22531.000,18660.000,22995.000,30016.000,36020.000,24696.000,28574.000,35535.000,44621.000,38398.000,46205.000,41912.000,49471.000,35488.000,38205.000,36121.000,43306.000,35015.000,34338.000,30411.000,31555.000,19817.000,19860.000,18574.000,18336.000,15404.000,16292.000,16764.000,17807.000,14720.000,16045.000,17924.000,21977.000,15957.000,14192.000,18780.000,19402.000,14586.000,16422.000,16551.000,18332.000,17404.000,12934.000,12875.000,14141.000,22328.000,19941.000,16295.000,17482.000,13469.000,15097.000,19166.000,21552.000,18325.000,23056.000,16238.000
2.01.02,Fornecedores,51127.000,54383.000,42451.000,68524.000,61531.000,61457.000,82821.000,71914.000,70155.000,77269.000,85956.000,97029.000,72870.000,83827.000,67356.000,71930.000,69067.000,75117.000,67980.000,65140.000,33878.000,37874.000,33398.000,30964.000,22211.000,24753.000,26976.000,18001.000,17754.000,16981.000,15369.000,17238.000,12379.000,10080.000,11182.000,10985.000,11761.000,8546.000,7222.000,10816.000,8116.000,8777.000,7302.000,8677.000,9814.000,3635.000,5776.000,6900.000,11763.000,12665.000,19870.000,20704.000,28538.000,24050.000,16722.000,21892.000,15190.000,22961.000,13187.000
2.01.03,Obrigações Fiscais,73065.000,90897.000,93657.000,102839.000,102859.000,100958.000,103857.000,103409.000,63571.000,68807.000,69826.000,79281.000,86715.000,83540.000,88465.000,88172.000,79653.000,73199.000,81464.000,83014.000,51609.000,48004.000,45630.000,37985.000,35391.000,30976.000,28843.000,21913.000,19251.000,19729.000,17102.000,11251.000,8361.000,6478.000,5389.000,5472.000,7470.000,4851.000,5226.000,6058.000,7236.000,6608.000,6904.000,7329.000,5613.000,5404.000,5993.000,8466.000,9428.000,10925.000,10638.000,10916.000,17097.000,17030.000,17276.000,16438.000,12577.000,10773.000,9170.000
2.01.04,Empréstimos e Financiamentos,497396.000,624295.000,632484.000,661114.000,583040.000,546924.000,587033.000,711541.000,722394.000,693738.000,639003.000,945076.000,978727.000,1149458.000,1246019.000,1139133.000,1257258.000,1347199.000,973510.000,1198749.000,787052.000,782356.000,836308.000,760619.000,675488.000,663446.000,410118.000,326109.000,248182.000,193792.000,199900.000,189172.000,173807.000,170368.000,193150.000,153941.000,110963.000,83253.000,57548.000,58608.000,51568.000,44678.000,41864.000,41606.000,41881.000,54468.000,49488.000,54547.000,51199.000,77124.000,89047.000,125250.000,226318.000,218757.000,229420.000,217083.000,222060.000,207939.000,552390.000
2.01.05,Outras Obrigações,212590.000,236311.000,255681.000,270283.000,300897.000,294700.000,282191.000,324397.000,375980.000,427722.000,391591.000,459805.000,443414.000,499200.000,415821.000,384528.000,392111.000,387928.000,388340.000,333536.000,351142.000,320474.000,360985.000,363767.000,299258.000,310272.000,303010.000,303313.000,298954.000,322534.000,315373.000,332276.000,319663.000,312223.000,309948.000,276232.000,205622.000,217672.000,228102.000,237203.000,218361.000,243033.000,168756.000,175696.000,169827.000,175458.000,162608.000,170840.000,142070.000,117224.000,99075.000,94904.000,103192.000,103064.000,108494.000,123991.000,137600.000,154637.000,145319.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,1083465.000,970687.000,867162.000,1075750.000,1244460.000,1345135.000,1432298.000,1395879.000,1266129.000,1513465.000,1723636.000,1415171.000,1490924.000,1465688.000,1534436.000,1478157.000,1264484.000,1201535.000,1484981.000,1179280.000,742103.000,730833.000,685660.000,584211.000,627990.000,449253.000,568694.000,623692.000,653998.000,660571.000,672747.000,625956.000,625062.000,568656.000,520599.000,416625.000,420110.000,401548.000,458112.000,545736.000,652668.000,661544.000,628753.000,635046.000,650635.000,638873.000,638427.000,625015.000,749018.000,700102.000,701631.000,695469.000,602984.000,694951.000,654338.000,611345.000,547520.000,452489.000,86988.000
