cd_conta,conta,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
6.01,Caixa Líquido das Atividades Operacionais,-76742.000,-44022.000,-98553.000,-112014.000,-63210.000,-1139.000,-56037.000,21049.000,-31977.000,-43663.000,-102325.000,-116850.000,-13265.000,46826.000,-91120.000,88443.000,-122690.000,89187.000,-135817.000,140486.000,100085.000,54546.000,3332.000,111276.000,-71797.000,8657.000,-30666.000,137512.000,6712.000,107396.000,837.000,31023.000,39737.000,31882.000,15195.000,-7005.000,74612.000,8975.000,7712.000,22863.000,-74439.000,-4986.000,-91050.000,-82307.000,-22691.000,-148279.000,34332.000,-30482.000,-15815.000,-13578.000,-35678.000,53666.000,-10371.000,-34768.000,-80629.000,-34752.000,12899.000,62444.000,29572.000,1370.000,58720.000,19056.000
6.01.DA,Depreciação e Amortização,5282.000,2421.000,2663.000,2453.000,3433.000,3355.000,3792.000,2890.000,3181.000,5804.000,10452.000,-5356.000,2624.000,3439.000,3259.000,3712.000,3377.000,3386.000,2982.000,3049.000,3068.000,3042.000,3030.000,-2364.000,1165.000,1058.000,730.000,773.000,886.000,730.000,600.000,577.000,497.000,486.000,212.000,535.000,525.000,423.000,249.000,1266.000,561.000,561.000,550.000,575.000,1186.000,1137.000,1503.000,3100.000,1651.000,1624.000,1335.000,1798.000,1346.000,2310.000,3469.000,-2299.000,956.000,928.000,946.000,825.000,816.000,1632.000
6.02,Caixa Líquido Atividades de Investimento,895.000,-7031.000,-9671.000,-12921.000,-9818.000,-8632.000,-13678.000,-14570.000,-10910.000,-31869.000,-67909.000,19702.000,-1478.000,-8461.000,19684.000,-1468.000,-611.000,1214.000,30114.000,-7483.000,-7676.000,8039.000,-1501.000,5016.000,32230.000,-20884.000,35269.000,-54409.000,95811.000,-43573.000,36438.000,-22124.000,10088.000,-44215.000,32752.000,25788.000,-28142.000,16588.000,-80202.000,37506.000,62962.000,-1687.000,-69654.000,-72230.000,9846.000,141465.000,-12642.000,31804.000,31155.000,-3542.000,27170.000,-55559.000,61604.000,63742.000,57707.000,-118114.000,42975.000,-52914.000,-6554.000,7870.000,20178.000,28155.000
6.03,Caixa Líquido Atividades de Financiamento,30869.000,14638.000,174716.000,8043.000,365192.000,-240727.000,214098.000,-56185.000,24433.000,36703.000,74884.000,13356.000,205824.000,87723.000,-9459.000,-83379.000,98752.000,6904.000,-56012.000,-127347.000,21032.000,-114731.000,-146061.000,-186162.000,-15602.000,-14781.000,17728.000,-110166.000,-104340.000,-50915.000,-25980.000,-33148.000,-48906.000,11769.000,-45972.000,-16831.000,-54941.000,-27359.000,300133.000,-40362.000,-44024.000,31276.000,101248.000,94785.000,32171.000,-24112.000,1593.000,-10955.000,7558.000,-10975.000,-1176.000,26573.000,3123.000,575.000,52678.000,9408.000,36592.000,-6893.000,-53189.000,-27216.000,-88100.000,-112931.000
6.04,Variação Cambial s/ Caixa e Equivalentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.05,Aumento (Redução) de Caixa e Equivalentes,-44978.000,-36415.000,66492.000,-116892.000,292164.000,-250498.000,144383.000,-49706.000,-18454.000,-38829.000,-95350.000,-83792.000,191081.000,126088.000,-80895.000,3596.000,-24549.000,97305.000,-161715.000,5656.000,113441.000,-52146.000,-144230.000,-69870.000,-55169.000,-27008.000,22331.000,-27063.000,-1817.000,12908.000,11295.000,-24249.000,919.000,-564.000,1975.000,1952.000,-8471.000,-1796.000,227643.000,20007.000,-55501.000,24603.000,-59456.000,-59752.000,19326.000,-30926.000,23283.000,-9633.000,22898.000,-28095.000,-9684.000,24680.000,54356.000,29549.000,29756.000,-143458.000,92466.000,2637.000,-30171.000,-17976.000,-9202.000,-65720.000
