codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,1.0941,-3.3163,1.2712,114.6552,76.9627,0.179,0.3119,0.5617
P_VPA,P/VPA,Valuation,x,,,,605.8121,,0.9365,,0.1394
EV_EBITDA,EV/EBITDA,Valuation,x,,,,753.011,,1.9585,,-0.1132
EV_EBIT,EV/EBIT,Valuation,x,,,,840.0929,,2.1104,,-0.1279
EV_RECEITA,EV/Receita,Valuation,x,,,,220.0963,,0.4706,,-0.0285
DY,Dividend Yield,Valuation,%,,,,0.0025,,1.0363,,6.3266
PAYOUT,Payout,Valuation,%,,,,3.2006,5.7885,3.8967,3.6882,3.6882
ROE,ROE,Rentabilidade,%,-661.2151,-105.732,247.1993,59.9832,32.5895,27.6426,26.4814,26.4814
ROA,ROA,Rentabilidade,%,9.1346,2.676,34.0687,21.7558,15.7179,15.6054,15.8564,15.8564
ROIC,ROIC,Rentabilidade,%,1429.4173,-1044.2818,60.8326,60.3295,45.1982,28.8597,27.8268,27.8268
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,24.3289,37.8649,22.8958,29.2288,27.268,24.0267,25.1938,25.1938
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,10.2956,2.9234,27.4812,16.9971,15.8526,15.4253,15.4784,15.4784
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.0982,0.0568,-0.0796,-0.2628,-0.6724,-0.4556,-0.4713,-0.4713
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-1.5338,-0.5133,-0.0736,-0.2114,-0.331,-0.1767,-0.1834,-0.1834
ICJ,ICJ,Endividamento,x,2.7421,0.9089,4.3179,5.8491,6.6597,7.9142,10.8357,10.8357
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,92.2176,18.4033,31.5901,40.2635,54.1201,32.7836,21.2717,21.2717
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,0.4799,0.4532,1.663,2.1674,2.3915,2.8023,2.603,2.603
LIQ_SECA,Liquidez Seca,Liquidez,x,0.2359,0.2467,0.9069,1.236,1.5455,1.537,1.5289,1.5289
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.2894,0.3769,0.6505,0.9135,1.1278,1.3766,1.5392,1.5392
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.8872,0.8231,1.1376,1.1891,0.9546,0.9638,0.9643,0.9643
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,118.0581,129.3192,122.2637,125.6963,143.6684,184.788,183.8787,183.8787
PME,PME,Eficiência,dias,88.8653,104.6969,104.1567,103.5988,122.72,157.69,150.7689,150.7689
NCG_RECEITA,NCG/Receita,Eficiência,%,-33.0602,-51.581,10.9864,13.7717,12.6441,22.4217,22.3433,22.3433
