cd_conta_padrao,ds_conta_padrao,2015-T2,2015-T3,2015-T4,2016-T2,2016-T3,2016-T4,2017-T2,2017-T3,2017-T4,2018-T2,2018-T3,2018-T4,2019-T2,2019-T3,2019-T4,2020-T2,2020-T3,2020-T4,2021-T2,2021-T3,2021-T4,2022-T2,2022-T3,2022-T4,2023-T2,2023-T3,2023-T4,2024-T2,2024-T3,2024-T4,2025-T2,2025-T3,2025-T4
2,Passivo Total,7331564.0,7328061.0,7168924.0,7222339.0,7585462.0,7385261.0,9170454.0,9399909.0,8691883.0,9506614.0,9573128.0,9114712.0,12389758.0,11528431.0,9748722.0,11920221.0,12357330.0,12113526.0,13108357.0,13815356.0,12417856.0,17964462.0,18067006.0,17359145.0,18970984.0,19137140.0,18823785.0,21645461.0,21205840.0,20371449.0,21912196.0,22657138.0,21769383.0
2.01,Passivo Circulante,1231939.0,1415950.0,1419892.0,1716938.0,1540341.0,1216712.0,1711930.0,1577692.0,1988833.0,1107745.0,1325729.0,1221200.0,1891678.0,1462593.0,1257665.0,1918792.0,1888658.0,1736475.0,1795853.0,2189293.0,1841573.0,3061268.0,3160548.0,2175055.0,2479327.0,2616262.0,2615781.0,3868157.0,3365951.0,2854430.0,2637016.0,2707062.0,2589623.0
2.01.01,Obrigações Sociais e Trabalhistas,104764.0,104624.0,84373.0,125234.0,111616.0,98231.0,160993.0,145191.0,121664.0,191821.0,157563.0,137155.0,180911.0,163614.0,134372.0,201536.0,172629.0,150249.0,226622.0,215301.0,171883.0,235760.0,210639.0,191786.0,267187.0,254511.0,195162.0,298091.0,259698.0,240837.0,326763.0,302643.0,264498.0
2.01.02,Fornecedores,158354.0,170172.0,95476.0,162489.0,237236.0,113907.0,224495.0,261556.0,138923.0,234734.0,269970.0,154146.0,261067.0,304089.0,152713.0,268067.0,321616.0,174524.0,419947.0,592543.0,221707.0,566475.0,630687.0,415082.0,538328.0,416486.0,281311.0,675348.0,593272.0,408590.0,684348.0,701686.0,404994.0
2.01.03,Obrigações Fiscais,14710.0,19396.0,14746.0,17525.0,23075.0,16486.0,24946.0,32672.0,24949.0,31335.0,41166.0,21044.0,24885.0,26027.0,45011.0,48050.0,40934.0,39715.0,30551.0,43503.0,31709.0,56867.0,41270.0,42468.0,59321.0,45102.0,29584.0,64025.0,44464.0,50261.0,48909.0,42815.0,44242.0
2.01.04,Empréstimos e Financiamentos,714281.0,793777.0,872419.0,1041037.0,925990.0,670559.0,1115477.0,1065178.0,1499583.0,406281.0,743870.0,686630.0,1280528.0,883052.0,754999.0,974289.0,1006315.0,835027.0,747106.0,1025467.0,1026076.0,1743725.0,1912259.0,1164366.0,1085033.0,1436662.0,1714218.0,2142774.0,2046880.0,1759317.0,1267308.0,1364373.0,1596787.0
2.01.05,Outras Obrigações,239830.0,327981.0,352878.0,370653.0,242424.0,317529.0,186019.0,73095.0,203714.0,243574.0,113160.0,222225.0,144287.0,85811.0,170570.0,426850.0,347164.0,536960.0,371627.0,312479.0,390198.0,458441.0,365693.0,361353.0,529458.0,463501.0,395506.0,687919.0,421637.0,395425.0,309688.0,295545.0,279102.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,3382823.0,3466963.0,3132947.0,2702603.0,3187425.0,3520184.0,4243914.0,4491185.0,3299730.0,5165342.0,4990316.0,4603737.0,6979545.0,6639072.0,5100047.0,6608820.0,6813562.0,7030375.0,6836103.0,7140320.0,6589694.0,9520605.0,9454436.0,9865665.0,10412721.0,10353535.0,10295641.0,11298348.0,11272209.0,10654648.0,12340865.0,12978593.0,12480398.0
