especie,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,0,113000000,113000000,113000000,113329207,113329207,364011329,364011329,364011329,354011329,354011329,354011329,354011329,346375066,ON
TOTAL,0,113000000,113000000,113000000,113329207,113329207,364011329,364011329,364011329,354011329,354011329,354011329,354011329,346375066,TOTAL
