cd_conta_padrao,ds_conta_padrao,2015-T2,2015-T3,2015-T4,2016-T2,2016-T3,2016-T4,2017-T2,2017-T3,2017-T4,2018-T2,2018-T3,2018-T4,2019-T2,2019-T3,2019-T4,2020-T2,2020-T3,2020-T4,2021-T2,2021-T3,2021-T4,2022-T2,2022-T3,2022-T4,2023-T2,2023-T3,2023-T4,2024-T2,2024-T3,2024-T4,2025-T2,2025-T3,2025-T4
1,Ativo Total,7331564.0,7328061.0,7168924.0,7222339.0,7585462.0,7385261.0,9170454.0,9399909.0,8691883.0,9506614.0,9573128.0,9114712.0,12389758.0,11528431.0,9748722.0,11920221.0,12357330.0,12113526.0,13108357.0,13815356.0,12417856.0,17964462.0,18067006.0,17359145.0,18970984.0,19137140.0,18823785.0,21645461.0,21205840.0,20371449.0,21912196.0,22657138.0,21769383.0
1.01,Ativo Circulante,1936173.0,2020235.0,1749599.0,1988874.0,2382737.0,1622245.0,3097401.0,3474133.0,2482050.0,3212533.0,3640232.0,2687858.0,3819269.0,3649098.0,3252700.0,3511294.0,4242985.0,3486150.0,3782303.0,4817137.0,3205608.0,5773011.0,5918593.0,5553542.0,5880012.0,6119892.0,5687475.0,6948811.0,6763996.0,6229157.0,6596560.0,7742415.0,6305241.0
1.01.01,Caixa e Equivalentes de Caixa,1007813.0,592948.0,1020112.0,170197.0,212833.0,266659.0,79786.0,327559.0,142454.0,313808.0,197825.0,140865.0,76415.0,48618.0,197607.0,236859.0,121326.0,92066.0,45008.0,246808.0,288350.0,175087.0,130568.0,114903.0,86015.0,111878.0,273408.0,205441.0,221591.0,204560.0,190344.0,113452.0,898588.0
1.01.02,Aplicações Financeiras,0.0,222251.0,0.0,344794.0,571848.0,706487.0,1259991.0,1059706.0,1029113.0,1255489.0,1081116.0,1320851.0,2065201.0,1304427.0,1838261.0,1405092.0,1716713.0,1831504.0,1281242.0,1104526.0,1062154.0,2654310.0,1744590.0,2857864.0,2284255.0,1501126.0,2804873.0,3222656.0,2363292.0,2946218.0,2599868.0,3016453.0,2184443.0
1.01.03,Contas a Receber,116745.0,191037.0,156317.0,142494.0,108331.0,86419.0,303495.0,215666.0,168868.0,215030.0,249029.0,177893.0,171093.0,253665.0,163412.0,266659.0,306388.0,165829.0,268848.0,532970.0,215659.0,431737.0,448218.0,225707.0,325020.0,363615.0,274904.0,595692.0,552750.0,666112.0,543837.0,439587.0,477210.0
1.01.04,Estoques,486982.0,702609.0,177443.0,468582.0,777847.0,229250.0,590604.0,1111886.0,256574.0,727079.0,1365310.0,334654.0,650933.0,1229068.0,232322.0,720183.0,1331741.0,366177.0,940833.0,1843384.0,446313.0,1108231.0,2205738.0,764576.0,1236913.0,2377088.0,694118.0,1136959.0,2021944.0,609479.0,871984.0,2004338.0,597081.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,454763.0,398803.0,0.0,578954.0,524674.0,586362.0,572720.0,504130.0,581725.0,654035.0,614450.0,657057.0,689676.0,606500.0,713547.0,945161.0,859534.0,989540.0,1123103.0,1028173.0,1219281.0,1414213.0,1222114.0,1160568.0,1363796.0,1165922.0,1364508.0,1364209.0,1190154.0,1405729.0
1.01.06,Tributos a Recuperar,186276.0,213133.0,167454.0,186882.0,192668.0,172181.0,110371.0,103472.0,113469.0,45244.0,145559.0,45780.0,125256.0,121827.0,99883.0,77208.0,64768.0,83560.0,59804.0,55034.0,54312.0,137359.0,220294.0,125535.0,321753.0,325547.0,308133.0,301790.0,285289.0,317198.0,556812.0,599347.0,499722.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,138357.0,98257.0,228273.0,221162.0,120407.0,161249.0,174200.0,131170.0,185210.0,83163.0,97263.0,86090.0,76336.0,77043.0,64158.0,115617.0,95549.0,233467.0,241407.0,174881.0,149280.0,143184.0,141012.0,245676.0,211843.0,218524.0,171471.0,122477.0,153208.0,121082.0,469506.0,379084.0,242468.0
