cd_conta,conta,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2.02.01,Empréstimos e Financiamentos,570711.000,666282.000,707854.000,958019.000,984865.000,1437192.000,1429977.000,1423123.000,1176045.000,1089241.000,1014523.000,997905.000,1151177.000,1371066.000,1570838.000,1939215.000,2367660.000,2602785.000,2885098.000,2867601.000,2836628.000,1992082.000,2496886.000,2538806.000,2219477.000,2873043.000,3087131.000,2788032.000,3238267.000,3810549.000,3639581.000,3577807.000,3697601.000,5550970.000,5257338.000,4896162.000,5655328.000,5265579.000,5305851.000,4786536.000,4937521.000,4895666.000,5365594.000,5576933.000,7730834.000,7441181.000,7391742.000,7738195.000,7951436.000,7970665.000,7703419.000,7966025.000,7652261.000,8317507.000,8182654.000,9395860.000,9323127.000,9056794.000,9630747.000
2.02.02,Outras Obrigações,273949.000,270530.000,274114.000,348723.000,365811.000,372699.000,369942.000,305364.000,256637.000,256529.000,256363.000,258518.000,252768.000,257878.000,406852.000,385135.000,386046.000,380476.000,337233.000,337754.000,390139.000,357431.000,338698.000,340338.000,315395.000,312445.000,311757.000,288696.000,258425.000,262080.000,259025.000,255869.000,309869.000,313933.000,324171.000,512737.000,528538.000,518773.000,728482.000,722735.000,715095.000,799953.000,677945.000,892297.000,936600.000,921173.000,936406.000,1213487.000,1235530.000,1289537.000,1570383.000,1608485.000,2056868.000,2142334.000,2183174.000,2209841.000,2243277.000,2281131.000,2367496.000
2.02.03,Tributos Diferidos,728368.000,814816.000,810270.000,768452.000,820201.000,804256.000,816851.000,829027.000,810465.000,773499.000,774958.000,780572.000,807880.000,820568.000,869884.000,905556.000,323811.000,346925.000,192057.000,150490.000,230173.000,291766.000,287714.000,334535.000,663143.000,960396.000,997857.000,962505.000,1007923.000,992925.000,991229.000,992647.000,988760.000,1008531.000,956436.000,925264.000,746226.000,726029.000,679720.000,844640.000,834822.000,1035935.000,991189.000,904319.000,1111225.000,1062210.000,1025372.000,982083.000,997134.000,1040485.000,968719.000,902672.000,821353.000,716554.000,782576.000,733770.000,792961.000,876994.000,848853.000
2.02.04,Provisões,74284.000,70919.000,70876.000,74644.000,74259.000,74458.000,77835.000,66508.000,60171.000,58972.000,57303.000,55663.000,56649.000,58520.000,44700.000,51344.000,55430.000,52637.000,52575.000,58678.000,60643.000,61324.000,64127.000,66239.000,101715.000,98030.000,94440.000,99411.000,99122.000,99788.000,100481.000,100206.000,103817.000,106111.000,101127.000,100913.000,100283.000,98439.000,99509.000,97947.000,102256.000,104549.000,105592.000,87217.000,87006.000,96041.000,100916.000,103356.000,111541.000,112034.000,111014.000,122267.000,124166.000,121953.000,123805.000,115289.000,121033.000,125946.000,131497.000
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02.06,Lucros e Receitas a Apropriar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03,Patrimônio Líquido Consolidado,1953486.000,2004758.000,1989126.000,2056686.000,2024678.000,1987692.000,2033665.000,2062466.000,2100617.000,2038631.000,2075419.000,2079161.000,2075952.000,2178354.000,2237661.000,2246685.000,2616085.000,2716802.000,2445148.000,2485795.000,2646597.000,2802798.000,2857696.000,3020877.000,3403320.000,3214610.000,3331032.000,3375083.000,3289775.000,3233527.000,3257083.000,3344615.000,3391010.000,3518535.000,3426766.000,3695000.000,3346676.000,3392609.000,3655110.000,4037269.000,3986589.000,4476401.000,4485743.000,4842159.000,5318425.000,5382589.000,5452022.000,5788725.000,5912363.000,6078936.000,6167343.000,6479560.000,6862371.000,6478956.000,6567680.000,6516223.000,6699362.000,6934315.000,6971483.000
2.03.01,Capital Social Realizado,455900.000,455900.000,455900.000,455900.000,455900.000,455900.000,614150.000,614150.000,614150.000,614150.000,737200.000,737200.000,737200.000,737200.000,808850.000,812992.000,812992.000,812992.000,931340.000,931340.000,931340.000,931340.000,1064972.000,1064972.000,1438672.000,1438672.000,1549302.000,1549302.000,1549302.000,1549302.000,1696652.000,1696652.000,1696652.000,1696652.000,1696652.000,1696652.000,1696652.000,1696652.000,2071819.000,2071819.000,2071819.000,2071819.000,2681571.000,2681571.000,2681571.000,2681571.000,3161384.000,3161384.000,3161384.000,3161384.000,3941717.000,3941717.000,3941717.000,3941717.000,4445192.000,4445192.000,4445192.000,4445192.000,4819109.000
2.03.02,Reservas de Capital,-1899.000,-1899.000,-1899.000,-6088.000,-12647.000,-13833.000,-13486.000,-12663.000,-11958.000,-11429.000,-10900.000,-9916.000,-8234.000,-7055.000,-6000.000,-4128.000,6823.000,8548.000,9519.000,7391.000,-11329.000,-17246.000,-24410.000,-23183.000,-73793.000,-72681.000,-71569.000,-93501.000,-213104.000,-224682.000,-224682.000,-224682.000,-224682.000,-47450.000,-81916.000,-106500.000,-121943.000,-121943.000,-139997.000,-139997.000,-139997.000,-139997.000,-139997.000,-139997.000,-139997.000,-139997.000,-139997.000,-139997.000,-139997.000,-139997.000,-139997.000,-139997.000,-16325.000,-285744.000,0.000,-51681.000,-90323.000,-90323.000,-90323.000
2.03.03,Reservas de Reavaliação,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.04,Reservas de Lucros,194516.000,194516.000,173454.000,173454.000,308867.000,308867.000,144603.000,144758.000,232556.000,232556.000,96832.000,96832.000,230277.000,230277.000,150285.000,150285.000,390562.000,390562.000,272214.000,272214.000,432656.000,430436.000,296804.000,296804.000,606198.000,606198.000,469810.000,469810.000,833258.000,850894.000,682676.000,704979.000,902685.000,748168.000,741614.000,781928.000,1164945.000,1182573.000,814343.000,836110.000,1503717.000,1530108.000,756773.000,805698.000,1676377.000,1716274.000,1168559.000,1210277.000,1828496.000,1848563.000,820179.000,1142971.000,1818821.000,1818821.000,900904.000,900904.000,1164152.000,1164152.000,790235.000
2.03.05,Lucros/Prejuízos Acumulados,0.000,48419.000,106750.000,161983.000,0.000,8380.000,69869.000,85563.000,0.000,42420.000,117717.000,155254.000,0.000,65011.000,187180.000,246243.000,0.000,35031.000,61282.000,141513.000,-1768.000,41267.000,114050.000,174107.000,0.000,120298.000,183037.000,354814.000,0.000,88752.000,139284.000,186164.000,0.000,73003.000,110390.000,294570.000,0.000,101798.000,428197.000,560032.000,0.000,167843.000,507564.000,650181.000,0.000,69655.000,222647.000,471923.000,0.000,47932.000,448480.000,338234.000,0.000,-42509.000,147086.000,157031.000,0.000,64883.000,92700.000
2.03.06,Ajustes de Avaliação Patrimonial,1304969.000,1307822.000,1254921.000,1271437.000,1272558.000,1228378.000,1218529.000,1230658.000,1265869.000,1160934.000,1134570.000,1099791.000,1116709.000,1152921.000,1093975.000,1041293.000,1405708.000,1469669.000,1170793.000,1133337.000,1295698.000,1417001.000,1406280.000,1508177.000,1432243.000,1122123.000,1200452.000,1094658.000,1120319.000,969261.000,963153.000,981502.000,1016355.000,1048162.000,960026.000,1028350.000,607022.000,533529.000,480748.000,709305.000,551050.000,846628.000,679832.000,844706.000,1100474.000,1055086.000,1039429.000,1085138.000,1062480.000,1161054.000,1096964.000,1196635.000,1118158.000,1046671.000,1074498.000,1064777.000,1180341.000,1350411.000,1359762.000
2.03.07,Ajustes Acumulados de Conversão,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.08,Outros Resultados Abrangentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.09,Participação dos Acionistas Não Controladores,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3371.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
