especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,48575200,48575200,48575200,48575200,44269808,43769808,43769808,43769808,43769808,43769808,43769808,43769808,43769808,43769808,43769808,ON
TOTAL,48575200,48575200,48575200,48575200,44269808,43769808,43769808,43769808,43769808,43769808,43769808,43769808,43769808,43769808,43769808,TOTAL
