cd_conta,conta,2022T1,2022T2,2022T3,2022T4,2025T1
6.01,Caixa Líquido das Atividades Operacionais,1746553.0,1151682.0,-2374118.0,-1538413.0,-2473306.0
6.02,Caixa Líquido Atividades de Investimento,-64287.0,-53678.0,-83399.0,-55742.0,-93859.0
6.03,Caixa Líquido Atividades de Financiamento,-187078.0,329260.0,694363.0,196658.0,804171.0
6.04,Variação Cambial s/ Caixa e Equivalentes,-88.0,-3716.0,-3349.0,-1313.0,1289.0
6.05,Aumento (Redução) de Caixa e Equivalentes,1495100.0,1423548.0,-1766503.0,-1398810.0,-1761705.0
