especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,23000,124040,124040,124040,124040,124040,124040,124040,124040,124040,124040,124040,3720971,3720971,6988800,ON
PN,46000,248079,248079,248079,248079,248079,248079,248079,248079,248079,248079,248079,0,0,0,PN
TOTAL,69000,372119,372119,372119,372119,372119,372119,372119,372119,372119,372119,372119,3720971,3720971,6988800,TOTAL
