codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,1.429,3.0304,5.2795,3.976,10.8598,4.7761,4.1734,3.4114,6.2659,4.3768,11.9459,14.2567
P_VPA,P/VPA,Valuation,x,,,,,,,,,,,,
EV_EBITDA,EV/EBITDA,Valuation,x,,,,,,,,,,,,
EV_EBIT,EV/EBIT,Valuation,x,,,,,,,,,,,,
EV_RECEITA,EV/Receita,Valuation,x,,,,,,,,,,,,
DY,Dividend Yield,Valuation,%,,,,,,,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,,,,,,,
ROE,ROE,Rentabilidade,%,5.021,5.8914,4.0122,4.6588,2.7783,5.6168,5.2303,5.0518,2.9703,3.8245,1.7583,1.7583
ROA,ROA,Rentabilidade,%,1.9093,2.2174,1.4974,1.7174,1.0221,2.004,1.7588,1.6172,0.9275,1.2312,0.6082,0.6082
ROIC,ROIC,Rentabilidade,%,5.3475,6.7479,4.3078,3.8221,1.6201,6.613,4.3843,6.1401,6.6427,5.8485,4.7109,4.7109
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,8.2849,9.689,6.2064,5.7172,2.4002,7.5089,4.1783,5.7417,5.9821,4.9551,4.4108,4.4108
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,2.8297,3.0581,2.3666,2.7374,1.5171,2.4563,1.8567,1.6445,1.0503,1.3065,0.6839,0.6839
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,5.5397,4.3094,5.6772,6.828,17.8235,4.0397,6.3995,4.9765,4.0375,4.3179,5.212,5.212
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.8144,0.7876,0.5887,0.654,0.7778,0.68,0.7395,0.8621,0.6845,0.6198,0.5924,0.5924
ICJ,ICJ,Endividamento,x,2.3838,2.5508,2.14,2.1623,1.0604,4.0735,3.0704,1.5239,1.2888,1.855,1.4137,1.4137
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,61.4504,51.4628,42.5747,43.5111,45.5562,54.3043,42.0399,56.404,41.2879,52.8334,39.8494,39.8494
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.5548,1.78,2.0959,2.2499,2.1219,1.7604,2.2069,1.7303,2.0575,1.8772,2.3117,2.3117
LIQ_SECA,Liquidez Seca,Liquidez,x,1.1804,1.3447,1.7029,1.8366,1.7123,1.3814,1.7737,1.2992,1.6302,1.5526,1.8342,1.8342
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.0392,1.061,1.0842,1.1004,1.1103,1.1075,1.1237,1.1322,1.1533,1.1798,1.1908,1.1908
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.6748,0.7031,0.6243,0.6096,0.6762,0.7698,0.9118,0.9396,0.8874,0.959,0.8833,0.8833
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,232.0605,234.8548,211.0485,216.9239,191.7688,159.639,137.635,154.1782,137.6203,131.0479,149.0837,149.0837
PME,PME,Eficiência,dias,120.4915,121.6914,100.9305,105.3975,88.0284,91.9518,68.3582,89.252,79.293,60.3205,78.2843,78.2843
NCG_RECEITA,NCG/Receita,Eficiência,%,52.0423,49.2773,46.541,55.0948,50.5342,38.0381,35.7176,36.445,32.2891,31.0578,33.1106,33.1106
