especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,82251937,82434559,97899438,297394488,316646672,317178517,317896418,317896418,309088851,309088851,309088851,309088851,309088851,309088851,289088851,ON
TOTAL,82251937,82434559,97899438,297394488,316646672,317178517,317896418,317896418,309088851,309088851,309088851,309088851,309088851,309088851,289088851,TOTAL
