cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,-51368.0,-77560.0,-101594.0,-246794.0,-270477.0,-297215.0,-329103.0,-273409.0,-238704.0,-216557.0,-177243.0,-146628.0,-162380.0,-168617.0,-195332.0,-241389.0,-246898.0,-265638.0,-279734.0,-285117.0,-258521.0,-254612.0,-241275.0,-245161.0,-271457.0,-114922.0,-114831.0,-178255.0,-202950.0,-195004.0,-179288.0,-155672.0,-136783.0,-117170.0,-71947.0,-55506.0,-40517.0,-20664.0,944.0
2.03.01,Capital Social Realizado,795142.0,795142.0,795142.0,795142.0,795142.0,795142.0,795142.0,795142.0,795142.0,795142.0,795142.0,795142.0,795142.0,795142.0,795142.0,795142.0,795142.0,795142.0,879785.0,879785.0,879785.0,879785.0,879785.0,879785.0,879785.0,879785.0,879785.0,879785.0,879785.0,879785.0,879785.0,879785.0,879785.0,879785.0,879785.0,879785.0,879785.0,879785.0,879785.0
2.03.02,Reservas de Capital,96955.0,97945.0,98965.0,100014.0,101064.0,102113.0,103194.0,104306.0,94630.0,94630.0,94630.0,94629.0,94629.0,94629.0,94629.0,94629.0,94629.0,94629.0,6745.0,6745.0,6745.0,6745.0,6745.0,6745.0,6745.0,6745.0,6745.0,6745.0,6745.0,6745.0,6745.0,6745.0,6745.0,6745.0,6745.0,6745.0,6745.0,6745.0,6745.0
2.03.03,Reservas de Reavaliação,34003.0,33513.0,32908.0,32421.0,31935.0,31410.0,30903.0,30397.0,29891.0,29386.0,28819.0,28315.0,27788.0,27254.0,26728.0,26201.0,25674.0,25148.0,24621.0,24096.0,0.0,0.0,0.0,21996.0,21473.0,20950.0,20428.0,19914.0,19416.0,18919.0,18421.0,17923.0,17425.0,16927.0,16429.0,15931.0,15931.0,14935.0,14439.0
2.03.04,Reservas de Lucros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2953.0,2953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.05,Lucros/Prejuízos Acumulados,-1171585.0,-1182488.0,-1331377.0,-1468327.0,-1446855.0,-1421139.0,-1459129.0,-1409251.0,-1382141.0,-1356305.0,-1316194.0,-1284855.0,-1299887.0,-1305397.0,-1175324.0,-1220661.0,-1225450.0,-1243473.0,-1253609.0,-1258286.0,-1230993.0,-1226388.0,-1212356.0,-1215541.0,-1241171.0,-1083970.0,-1083214.0,-1145979.0,-1170028.0,-1161437.0,-1145076.0,-1120816.0,-1101285.0,-1081029.0,-1035164.0,-1018084.0,-1002448.0,-981948.0,-959694.0
2.03.06,Ajustes de Avaliação Patrimonial,66636.0,66396.0,66157.0,65921.0,65687.0,65450.0,65215.0,64983.0,64752.0,64522.0,64292.0,64074.0,63881.0,63688.0,63493.0,63300.0,63107.0,62916.0,62724.0,62543.0,85942.0,85246.0,84551.0,61854.0,61711.0,61568.0,61425.0,61280.0,61132.0,60984.0,60837.0,60691.0,60547.0,60402.0,60258.0,60117.0,59470.0,59819.0,59669.0
2.03.07,Ajustes Acumulados de Conversão,127481.0,111932.0,236611.0,228035.0,182550.0,129809.0,135572.0,138061.0,156069.0,156068.0,156068.0,156067.0,156067.0,156067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.08,Outros Resultados Abrangentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.09,Participação dos Acionistas Não Controladores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
