especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,137615317,137615317,137615317,137615317,137615317,137615317,ON
PN,34064588,34064588,34064588,34064588,34064588,34064588,34064588,34064588,34064588,122894462,122894462,122894462,122894462,122894462,122894462,PN
TOTAL,54064588,54064588,54064588,54064588,54064588,54064588,54064588,54064588,54064588,260509779,260509779,260509779,260509779,260509779,260509779,TOTAL
