especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,1308213508,1309235008,26184700,26185536,26309395,26311971,26311971,26311971,26311971,26311971,26311971,29953355,179720130,179720130,179720130,ON
PN,1060052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PN
TOTAL,1309273560,1309235008,26184700,26185536,26309395,26311971,26311971,26311971,26311971,26311971,26311971,29953355,179720130,179720130,179720130,TOTAL
