cd_conta,conta,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2024T1,2024T2,2024T3,2024T4,2025T3
6.01,Caixa Líquido das Atividades Operacionais,30552.0,156173.0,-29306.0,3741.0,-65983.0,-243224.0,-136914.0,532130.0,134331.0,-29269.0,611347.0,-164597.0,672001.0,-109112.0,424852.0,-1284855.0,-89959.0,771.656,706.173,2119353.171,-1950688.0
6.02,Caixa Líquido Atividades de Investimento,5.0,-301.0,-453.0,-765.0,-843.0,255800.0,84085.0,-365241.0,-197.0,-55474.0,-13686.0,-259.0,-1049.0,-4615.0,-6036.0,91043.0,-2559.0,-6.467,-40.863,-46019.67,-7570.0
6.03,Caixa Líquido Atividades de Financiamento,-16873.0,-13230.0,25511.0,72097.0,-51256.0,38239.0,76220.0,-26299.0,-4885.0,616.0,-39206.0,917.0,-46786.0,-39443.0,-42735.0,7053.0,171000.0,131.96,196.962,104690.078,-168007.0
6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,0.0,0.0,0.0,0.0,-560.0,-10726.0,908.0,7261.0,6384.0,38462.0,-185169.0,-14023.0,3219.0,10913.0,3504.0,10748.0,23.856,-57.781,-146881.075,37492.0
6.05,Aumento (Redução) de Caixa e Equivalentes,13684.0,142642.0,-4248.0,75073.0,-118082.0,50255.0,12665.0,141498.0,136510.0,-77743.0,596917.0,-349108.0,610143.0,-149951.0,386994.0,-1183255.0,89230.0,921.005,804.491,2031142.504,-2088773.0
