especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,45443872,45443872,58444889,65178483,65178483,65178483,65178483,65178483,65178483,75577842,75577842,75577842,97896917,105835051,115914712,ON
PN,39965233,38590394,52397424,55993541,55993541,55993541,55993541,55993541,55993541,75579922,72579922,72579922,88546616,104424884,110513658,PN
TOTAL,85409105,84034266,110842313,121172024,121172024,121172024,121172024,121172024,121172024,148157764,148157764,148157764,186442533,210259935,226428370,TOTAL
