Ticker,Preço_Fechamento,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
PINE3,Preço de Fechamento Ajustado,,,,,,,,,6.25,6.37,6.42,6.48,6.6,6.69,6.76,6.76,6.82,6.9,6.98,7.08,7.19,7.27,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.31,7.35,7.35,3.44,4.32,7.23,4.53,4.76,4.25,4.25,5.86,8.22
PINE4,Preço de Fechamento Ajustado,4.87,4.38,3.99,5.09,6.27,5.86,6.76,6.99,6.72,5.89,4.96,5.32,5.0,4.39,4.68,3.88,3.42,3.14,2.67,2.55,2.7,2.96,3.12,3.03,2.86,2.51,2.38,2.67,2.48,1.96,1.46,1.69,1.79,1.84,2.45,3.21,1.46,2.23,1.96,1.93,1.73,2.34,1.45,1.37,1.25,0.76,1.28,1.25,1.42,2.12,3.13,3.56,3.94,3.58,4.21,4.12,4.17,5.81,8.36
