cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3
3.01,Receita de Venda de Bens e/ou Serviços,637570.0,592485.0,674946.0,672861.0,686747.0,600427.0,707792.0,663884.0,599006.0,641480.0,675259.0,661983.0,620439.0,1680.0,121321.0,1035473.0,451411.0,442666.0,496693.0,475028.0,414816.0,343978.0,566800.0,651373.0,567330.0,534417.0,587524.0,522939.0,489883.0,383544.0,385097.0,262433.0,171091.0,169818.0,212730.0,220862.0,112363.0,89522.0,124997.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-483756.0,-438292.0,-505738.0,-493547.0,-517235.0,-444141.0,-529457.0,-487501.0,-446631.0,-482151.0,-492985.0,-486206.0,-453917.0,-2473.0,-113096.0,-682820.0,-333318.0,-321323.0,-342952.0,-321695.0,-295029.0,-234067.0,-401106.0,-466909.0,-384405.0,-372693.0,-393784.0,-355525.0,-347993.0,-320486.0,-357879.0,-296209.0,-202760.0,-168437.0,-202111.0,-221191.0,-143075.0,-118611.0,-121196.0
3.03,Resultado Bruto,153814.0,154193.0,169208.0,179314.0,169512.0,156286.0,178335.0,176383.0,152375.0,159329.0,182274.0,175777.0,166522.0,-793.0,8225.0,352653.0,118093.0,121343.0,153741.0,153333.0,119787.0,109911.0,165694.0,184464.0,182925.0,161724.0,193740.0,167414.0,141890.0,63058.0,27218.0,-33776.0,31669.0,1381.0,10619.0,-23671.0,30712.0,29089.0,3801.0
3.04,Despesas/Receitas Operacionais,-156404.0,-123540.0,-163274.0,-176818.0,-146026.0,-137599.0,-136029.0,-206668.0,-117876.0,-105117.0,-116020.0,-59303.0,-121931.0,-6147.0,-39010.0,-24548.0,-111868.0,-144548.0,-143633.0,-114607.0,-170200.0,-145531.0,-148318.0,-73792.0,-134109.0,-131660.0,-165217.0,-112353.0,-130089.0,-133222.0,-125074.0,-32874.0,-133383.0,-374532.0,-109703.0,-146224.0,-106645.0,-86740.0,-82215.0
3.04.02,Despesas Gerais e Administrativas,-72216.0,-49086.0,-50514.0,-46782.0,-66877.0,-43906.0,-43536.0,-38306.0,-44644.0,-44616.0,-44140.0,-16142.0,-46746.0,-1468.0,-1419.0,-171462.0,-36135.0,-40166.0,-41773.0,-85561.0,-95429.0,-37052.0,-43063.0,-14995.0,-33355.0,-43063.0,-45539.0,-27383.0,-44617.0,-47563.0,-49891.0,-65046.0,-75260.0,-42179.0,-42795.0,-35468.0,-54342.0,-33005.0,-31782.0
3.04.05,Outras Despesas Operacionais,0.0,-17558.0,-12038.0,-29596.0,0.0,-1247.0,-225.0,-1472.0,0.0,-8820.0,-4830.0,-13650.0,0.0,-2987.0,-40021.0,-43008.0,0.0,-37985.0,-18728.0,-56713.0,0.0,-10992.0,-4543.0,-15535.0,0.0,-23057.0,-7775.0,-30832.0,0.0,-4017.0,-3355.0,-7372.0,0.0,-444.0,-11564.0,-273533.0,0.0,-13599.0,-2883.0
3.04.05.02,Depreciação e amortização,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,-4756.0,4756.0,,,0.0
3.04.06,Resultado de Equivalência Patrimonial,0.0,-9607.0,-20369.0,-43552.0,0.0,-16942.0,-12045.0,-72848.0,0.0,7567.0,4486.0,13089.0,0.0,277.0,-2930.0,17431.0,0.0,7267.0,-2862.0,-16900.0,0.0,-14242.0,688.0,5949.0,0.0,-11552.0,-8993.0,34163.0,0.0,3486.0,2732.0,-3410.0,0.0,-50636.0,-5187.0,30024.0,0.0,-502.0,-253.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-2590.0,30653.0,5934.0,2496.0,23486.0,18687.0,42306.0,-30285.0,34499.0,54212.0,66254.0,116474.0,44591.0,-6940.0,47235.0,377201.0,6225.0,-23205.0,10108.0,38726.0,-50413.0,-35620.0,17376.0,110672.0,48816.0,30064.0,28523.0,55061.0,11801.0,-70164.0,-97856.0,-66650.0,-165052.0,-373151.0,-99084.0,-146553.0,-137357.0,-115829.0,-78414.0
3.06,Resultado Financeiro,-8676.0,-56454.0,-13108.0,-26974.0,-72823.0,-66018.0,-59373.0,-60705.0,-53375.0,-57095.0,-47946.0,-55510.0,-46845.0,-28232.0,10086.0,-165463.0,-53790.0,-45293.0,-98805.0,-72654.0,-80210.0,-50354.0,-61743.0,-63945.0,-69843.0,-77029.0,-52879.0,-113409.0,-106837.0,-108072.0,-103511.0,-113458.0,-101968.0,-116435.0,-108526.0,-116701.0,-81343.0,-95383.0,-14178.0
3.06.01,Receitas Financeiras,44481.0,6509.0,50825.0,32076.0,8035.0,11186.0,7101.0,8187.0,11282.0,7755.0,10290.0,3715.0,9434.0,1739.0,1034.0,22652.0,10027.0,20613.0,29333.0,27291.0,14188.0,12204.0,13976.0,10907.0,11871.0,9977.0,37076.0,14532.0,15391.0,24807.0,30097.0,38343.0,22351.0,31152.0,22871.0,25253.0,19465.0,14652.0,133825.0
3.06.02,Despesas Financeiras,-53157.0,-62963.0,-63933.0,-59050.0,-80858.0,-77204.0,-66474.0,-68892.0,-64657.0,-64850.0,-58236.0,-59225.0,-56279.0,-26493.0,-26510.0,-205573.0,-63817.0,-65906.0,-69472.0,-104029.0,-94398.0,-62558.0,-75719.0,-74852.0,-81714.0,-87006.0,-89955.0,-127941.0,-122228.0,-132879.0,-133608.0,-151801.0,-124319.0,-147587.0,-131397.0,-141954.0,-100808.0,-110035.0,-148003.0
3.07,Resultado Antes dos Tributos sobre o Lucro,-11266.0,-25801.0,-7174.0,-24478.0,-49337.0,-47331.0,-17067.0,-90990.0,-18876.0,-2883.0,18308.0,60964.0,-2254.0,-35172.0,57321.0,211738.0,-47565.0,-68498.0,-88697.0,-33928.0,-130623.0,-85974.0,-44367.0,46727.0,-21027.0,-46965.0,-24356.0,-58348.0,-95036.0,-178236.0,-201367.0,-180108.0,-267020.0,-489586.0,-207610.0,-263254.0,-218700.0,-211212.0,-92592.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-3042.0,-4767.0,-843.0,-1196.0,-427.0,-9582.0,-30.0,-50211.0,-1109.0,-11586.0,-211.0,-1374.0,-3026.0,-41477.0,-42833.0,-52046.0,-1978.0,-3297.0,-1956.0,-3189.0,-76545.0,-795.0,-147.0,-2557.0,-282.0,-1875.0,-19679.0,-12563.0,-5528.0,-4025.0,-1305.0,-3808.0,-863.0,-15612.0,-801.0,-15668.0,-6442.0,-6593.0,-590.0
3.09,Resultado Líquido das Operações Continuadas,14308.0,21034.0,8017.0,32816.0,48910.0,37749.0,17037.0,40779.0,19985.0,8703.0,18519.0,21838.0,5280.0,1797.0,11148.0,159692.0,45587.0,65201.0,86741.0,37117.0,207168.0,85179.0,44220.0,-42286.0,20745.0,48840.0,4677.0,67161.0,89508.0,174211.0,202672.0,203022.0,267883.0,505198.0,208411.0,247586.0,212258.0,204619.0,92002.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53674.0,194362.0,0.0,0.0,-2121.0,0.0,0.0,0.0,-66988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,14308.0,21034.0,8017.0,32816.0,48910.0,37749.0,17037.0,40779.0,19985.0,8703.0,18519.0,21838.0,5280.0,1797.0,11148.0,213366.0,148775.0,65201.0,86741.0,-258312.0,207168.0,85179.0,44220.0,24702.0,20745.0,48840.0,4677.0,67161.0,89508.0,174211.0,202672.0,203022.0,267883.0,505198.0,208411.0,247586.0,212258.0,204619.0,92002.0
3.11.01,Atribuído a Sócios da Empresa Controladora,-17213.0,-20777.0,-11051.0,-28762.0,-38229.0,-32541.0,-16179.0,-53874.0,-14920.0,6083.0,6936.0,51709.0,-5425.0,5717.0,18670.0,128041.0,73839.0,-51971.0,-53697.0,-24256.0,-113266.0,-51924.0,-29018.0,-15391.0,-8941.0,-37757.0,3543.0,-38706.0,-57706.0,-93476.0,-116295.0,-108827.0,-155267.0,-279152.0,-117112.0,-136179.0,-116646.0,-104981.0,-48856.0
3.11.02,Atribuído a Sócios Não Controladores,2905.0,-257.0,3034.0,-4054.0,-10681.0,-5208.0,-858.0,13095.0,-5065.0,2620.0,11583.0,10099.0,145.0,6640.0,-7522.0,85325.0,74936.0,-13230.0,-33044.0,-14982.0,-93902.0,-33255.0,-15202.0,-9311.0,-11804.0,-11083.0,-8220.0,-28455.0,-31802.0,-80735.0,-86377.0,-94195.0,-112616.0,-226046.0,-91299.0,-111407.0,-95612.0,-99638.0,-43146.0
3.99,Lucro por Ação (Reais/Ação),-0.1405,-0.1695,-0.3607,-1.8689,-1.2478,1.23215945,0.55610216,-3.3488,-0.487,0.1986,0.2263,1.6879,-0.1771,0.0096,0.6189,4.3469,2.4102,-1.6964,-1.7527,-0.7918,-3.6971,-1.6948,-0.9472,-0.5024,-0.2918,-0.8554,0.1156,-1.6474,-1.8836,-3.0511,-3.796,-3.5522,-5.068,-9.1118,-3.8226,-4.445,-3.8074,-3.4267,-1.5947
