especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,43531958,43531958,55652300,55652300,55652300,13912800,13912800,13912800,13912800,13912800,13912800,13912800,13912800,13912800,13912800,ON
PN,73143333,73143333,67016428,67016428,67016428,16723657,16723657,16723657,16723657,16723657,16723657,16723657,16723657,16723657,16723657,PN
TOTAL,116675291,116675291,122668728,122668728,122668728,30636457,30636457,30636457,30636457,30636457,30636457,30636457,30636457,30636457,30636457,TOTAL
