cd_conta,conta,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3,2025T4
1,Ativo Total,16140349.0,16414235.0,17453139.0,17368931.0,17466879.0,18039455.0,18548955.0,19573480.0,19832480.0,22180300.0,24861671.0,28166559.0,28739443.0,31095958.0,33436606.0,34250370.0,34096289.0,40719133.0,43341785.0,44588270.0,44077780.0,43832142.0,44002223.0,43719364.0,46147582.0,46167919.0,45062141.0,48437791.0,50599751.0,48301069.0,48255437.0,48255437.0
1.01,Caixa e Equivalentes de Caixa,1172167.0,1670092.0,1510029.0,871825.0,200687.0,949915.0,918308.0,903029.0,180166.0,282214.0,191072.0,163146.0,393553.0,406466.0,514207.0,407617.0,412502.0,584440.0,289621.0,620990.0,546819.0,435084.0,668089.0,874654.0,688972.0,213315.0,143920.0,1704903.0,279439.0,537838.0,438583.0,438583.0
1.02,Ativos Financeiros,2090565.0,10493162.0,11488467.0,12273121.0,12960770.0,12780820.0,13440999.0,13785838.0,14633749.0,16804129.0,19506594.0,22757496.0,23042451.0,25294600.0,27127937.0,27906673.0,27511234.0,34054112.0,36746119.0,37289815.0,36707629.0,36313474.0,36078502.0,35936993.0,38566832.0,39029856.0,38214323.0,39546056.0,42917208.0,40285796.0,40191210.0,40191210.0
1.02.03,Ativos Financeiros ao Custo Amortizado,0.0,9054874.0,9364387.0,9600545.0,9911926.0,10393228.0,10876553.0,11129599.0,11425714.0,12011119.0,12569651.0,13945069.0,13894100.0,14183029.0,14754309.0,15746359.0,16964261.0,28578560.0,31346841.0,33258060.0,33428336.0,31625111.0,31605170.0,31525244.0,32114582.0,34582476.0,31801155.0,32736704.0,33324630.0,29637132.0,29472038.0,29472038.0
1.02.03.07,Operações de Crédito,9330581.0,9330581.0,9483095.0,9707630.0,10028913.0,10417649.0,10886877.0,11356105.0,8810242.0,6264379.0,3718516.0,1172653.0,-1373210.0,-1389943.0,127213.0,152121.0,345608.0,702293.0,1021837.0,1389620.0,1070275.0,1075493.0,1176431.0,1091421.0,1087024.0,982018.0,978311.0,805838.0,751323.0,965353.0,951566.0,951566.0
1.02.03.06,Provisão para Perdas Esperadas,15384.0,15384.0,21469.0,26861.0,45231.0,43856.0,-1022316.0,86397.0,-1137044.0,-1183240.0,-1245191.0,-1287585.0,14294208.0,14518745.0,-1430904.0,-1591076.0,-1672861.0,-1825804.0,-1991266.0,-2173160.0,-2310936.0,-2252485.0,-2293894.0,-1876192.0,-2127601.0,-2165332.0,-2337870.0,-2415819.0,-2292560.0,-2018221.0,-1848774.0,-1848774.0
1.04,Outros Ativos,2496826.0,687501.0,912360.0,755331.0,858637.0,855934.0,719691.0,1049400.0,1063963.0,1152003.0,1169929.0,1280654.0,1191390.0,1215824.0,1215992.0,1201869.0,1356832.0,1441285.0,1495498.0,1645050.0,1718797.0,1809705.0,1897203.0,1376911.0,1398713.0,1422976.0,1141499.0,1197910.0,1113170.0,1168418.0,1151003.0,1151003.0
1.05,Investimentos,435830.0,0.0,0.0,6395.0,0.0,0.0,0.0,0.0,0.0,0.0,1693.0,600.0,36028.0,44946.0,47982.0,44794.0,23996.0,24081.0,31764.0,172142.0,105544.0,90255.0,97279.0,132818.0,129479.0,135669.0,136239.0,156969.0,214689.0,186945.0,205934.0,205934.0
1.06,Imobilizado,0.0,91151.0,104036.0,115666.0,117345.0,123699.0,132260.0,141281.0,150035.0,143461.0,130292.0,92106.0,84962.0,83253.0,84497.0,82296.0,80181.0,81849.0,80935.0,78550.0,76342.0,73355.0,69628.0,64600.0,59961.0,64014.0,61037.0,63367.0,60948.0,60416.0,63004.0,63004.0
1.06.01,Imobilizado de Uso,0.0,91151.0,104036.0,115666.0,117345.0,123699.0,132260.0,141281.0,150035.0,143461.0,130292.0,92106.0,84962.0,83253.0,84497.0,82296.0,80181.0,81849.0,80935.0,78550.0,76342.0,73355.0,69628.0,64600.0,59961.0,64014.0,61037.0,63367.0,60948.0,60416.0,63004.0,63004.0
1.07,Intangível,90058.0,995920.0,995796.0,995662.0,1014661.0,1016278.0,1024362.0,1030631.0,1107097.0,1125228.0,1161721.0,1215701.0,1198372.0,1213453.0,1228658.0,1257546.0,1274173.0,1297410.0,1321384.0,1339854.0,1427293.0,1454953.0,1498715.0,1538062.0,1554584.0,1570289.0,1555373.0,1636603.0,1654173.0,1682557.0,1728143.0,1728143.0
