especie,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4
ON,400007354,400007354,398696198,372696198,372696198,372696198,372696198
PN,100000000,191467177,184536213,210536213,210536213,210536213,210536213
TOTAL,500007354,591474531,583232411,583232411,583232411,583232411,583232411
