cd_conta,ds_conta,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,1089872.0,1110949.0,1163735.0,1211342.0,1257000.0,1276257.0,1315771.0,1785355.0,2078788.0,2076298.0,2126380.0,2273495.0,2323153.0,2402443.0,2558882.0,2598907.0,4841522.0,6083616.0,6321212.0,6502453.0,1115165.0,6800655.0,1212609.0,18641361.0,1321446.0,437098.0,7733430.0,19422724.0,1469235.0,862763.0,7918125.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-597990.0,-678066.0,-728490.0,-750116.0,-726411.0,-751360.0,-818579.0,-1104075.0,-1279595.0,-1132562.0,-1284446.0,-1512375.0,-1522103.0,-1698788.0,-1851171.0,-1745397.0,-3720784.0,-4581815.0,-4793858.0,-4997250.0,-573026.0,-6266573.0,-362958.0,-17527357.0,-327747.0,-287198.0,-6713331.0,-18285669.0,-187151.0,-211299.0,-6967157.0
3.03,Resultado Bruto,491882.0,432883.0,435245.0,461226.0,530589.0,524897.0,497192.0,681280.0,799193.0,943736.0,841934.0,761120.0,801050.0,703655.0,707711.0,853510.0,1120738.0,1501801.0,1527354.0,1505203.0,542139.0,534082.0,849651.0,1114004.0,993699.0,149900.0,1020099.0,1137055.0,1282084.0,651464.0,950968.0
3.04,Despesas/Receitas Operacionais,-218393.0,-234150.0,-256149.0,-242029.0,-258561.0,-260198.0,-265481.0,-416242.0,-487398.0,-492585.0,-510979.0,-587884.0,-550408.0,-619619.0,-654542.0,-698087.0,-1153434.0,-1633525.0,-1418204.0,-1605800.0,-442122.0,-451841.0,-530055.0,-444201.0,-494727.0,-463306.0,-767028.0,-834701.0,-611060.0,-506212.0,-599823.0
3.04.02,Despesas Gerais e Administrativas,-96787.0,-132240.0,-139086.0,-139065.0,-139279.0,-128855.0,-138425.0,-269521.0,-333383.0,-310324.0,-346897.0,-422915.0,-409500.0,-438122.0,-504766.0,-475865.0,-837436.0,-1192761.0,-1362038.0,-1150188.0,-397241.0,-430902.0,-425188.0,-417202.0,-432292.0,-407213.0,-738648.0,-685502.0,-505930.0,-415172.0,-519607.0
3.04.05,Outras Despesas Operacionais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26217.0,0.0,-26217.0,0.0,-66463.0,0.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,273489.0,198733.0,179096.0,219197.0,272028.0,264699.0,231711.0,265038.0,311795.0,451151.0,330955.0,173236.0,250642.0,84036.0,53169.0,155423.0,-32696.0,-131724.0,109150.0,-100597.0,100017.0,82241.0,319596.0,669803.0,498972.0,-313406.0,253071.0,302354.0,671024.0,145252.0,351145.0
3.06,Resultado Financeiro,21770.0,37255.0,59066.0,53729.0,35074.0,40621.0,50569.0,-30269.0,-56690.0,-27287.0,-20545.0,-29957.0,-29830.0,-4560.0,5702.0,-21706.0,-171467.0,-259318.0,-345423.0,-515734.0,-279075.0,-455762.0,-423706.0,-714351.0,-375150.0,-251091.0,-360259.0,-221768.0,-349876.0,-601765.0,-318230.0
