especie,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,280000000,742985906,3714929530,7142378316,7144255743,7539463263,7539463263,ON
TOTAL,280000000,742985906,3714929530,7142378316,7144255743,7539463263,7539463263,TOTAL
