cd_conta,conta,2011T1,2022T1,2022T2,2022T3,2023T1,2023T2,2023T3
6.01,Caixa Líquido das Atividades Operacionais,73840.0,209266.0,930569.0,889799.0,-2822867.0,-1415421.0,-201709.0
6.02,Caixa Líquido Atividades de Investimento,-2275.0,-18108.0,-37085.0,-66856.0,-29310.0,-58169.0,-85134.0
6.03,Caixa Líquido Atividades de Financiamento,6842.0,-14712.0,135043.0,157874.0,-73575.0,-61963.0,-17612.0
6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.05,Aumento (Redução) de Caixa e Equivalentes,78407.0,176446.0,1028527.0,980817.0,-2925752.0,-1535553.0,-304455.0
