especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4
ON,67822120,67822120,71978166,75648913,79715509,87515454,95780135,102749196,109496432,109496432,113445475,113445475,113445475,119010510,122961704
PN,67822120,67822120,71868932,75394106,79211404,86482563,94207966,100820048,108862625,108862625,112644643,112644643,112644643,117925586,121695153
TOTAL,135644240,135644240,143847098,151043019,158926913,173998017,189988101,203569244,218359057,218359057,226090118,226090118,226090118,236936096,244656857
