especie,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,125213244,125213244,125213244,125213244,138812000,128721560,128721560,128721560,128721560,128721560,128721560,128721560,ON
TOTAL,125213244,125213244,125213244,125213244,138812000,128721560,128721560,128721560,128721560,128721560,128721560,128721560,TOTAL
