cd_conta,conta,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
6.01,Caixa Líquido das Atividades Operacionais,14499.000,30676.000,18043.000,8193.000,27404.000,49857.000,29933.000,23740.000,48760.000,14254.000,80942.000,33084.000,9554.000,11027.000,64015.000,-7536.000,-21279.000,56830.000,205168.000,47051.000,14218.000,107301.000,250428.000,-15349.000,12000.000,73030.000,296632.000,7068.000,16590.000,19212.000,137808.000,14830.000,-6686.000,72706.000,130878.000,76354.000,38542.000,61229.000,82318.000,13349.000,50525.000,40700.000,27344.000,28198.000,86665.000,28704.000,27845.000,16361.000,66201.000,38883.000,85307.000,50129.000,98165.000,153687.000,283638.000
6.01.DA,Depreciação e Amortização,2800.000,2637.000,2874.000,5142.000,3549.000,4857.000,5125.000,6128.000,4641.000,5740.000,6574.000,7668.000,12326.000,14964.000,14543.000,14267.000,14512.000,29323.000,44594.000,-28152.000,14528.000,31019.000,47783.000,-28240.000,17384.000,35460.000,54299.000,-30795.000,26488.000,60786.000,91037.000,-47405.000,43897.000,88270.000,132043.000,-88559.000,42634.000,46525.000,46864.000,48847.000,49569.000,51965.000,55929.000,56855.000,60278.000,57946.000,56698.000,50941.000,56572.000,56245.000,55068.000,54549.000,55230.000,110941.000,165150.000
6.02,Caixa Líquido Atividades de Investimento,-17255.000,-23072.000,-23096.000,-9536.000,-21675.000,-23060.000,-38903.000,-120195.000,-44039.000,-33056.000,-184011.000,-13569.000,-37056.000,-12095.000,-268067.000,-2621.000,12761.000,-19888.000,-128044.000,-99012.000,-18800.000,-36728.000,-49498.000,-338768.000,11679.000,13732.000,-93511.000,-40290.000,191039.000,293254.000,287406.000,-582054.000,-2756.000,-22989.000,-39839.000,-97546.000,-115569.000,-120756.000,-57969.000,-104568.000,-320135.000,-19152.000,-50841.000,-32135.000,-100763.000,18051.000,-10428.000,-61301.000,-84390.000,50273.000,-38151.000,-29635.000,-66231.000,-87277.000,-113313.000
6.03,Caixa Líquido Atividades de Financiamento,-1150.000,-4368.000,-5024.000,25885.000,-3078.000,14846.000,-32619.000,293828.000,-377.000,-6983.000,-22483.000,-16534.000,-35.000,-10515.000,252748.000,-2668.000,-4508.000,-41176.000,-46381.000,30515.000,-6330.000,-63890.000,-96578.000,471244.000,-2736.000,-84057.000,-124224.000,-33878.000,-5371.000,-313372.000,-463095.000,304195.000,-34797.000,434647.000,397800.000,-443012.000,-50915.000,-34953.000,-91492.000,-85445.000,163175.000,-40473.000,161204.000,-41350.000,-33413.000,-30677.000,-27430.000,120889.000,-56283.000,85900.000,-93503.000,80730.000,-85726.000,-186155.000,-260441.000
6.04,Variação Cambial s/ Caixa e Equivalentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.05,Aumento (Redução) de Caixa e Equivalentes,-3906.000,3236.000,-10077.000,24542.000,2651.000,41643.000,-41589.000,197373.000,4344.000,-25785.000,-125552.000,2981.000,-27537.000,-11583.000,48696.000,-12825.000,-13026.000,-4234.000,30743.000,-21446.000,-10912.000,6683.000,104352.000,117127.000,20943.000,2705.000,78897.000,-67100.000,202258.000,-906.000,-37881.000,-263029.000,-44239.000,484364.000,488839.000,-464204.000,-127942.000,-94480.000,-67143.000,-176664.000,-106435.000,-18925.000,137707.000,-45287.000,-47511.000,16078.000,-10013.000,75949.000,-74472.000,175056.000,-46347.000,101224.000,-53792.000,-119745.000,-90116.000
