cd_conta,conta,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2.02.06,Lucros e Receitas a Apropriar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03,Patrimônio Líquido Consolidado,193198.000,232932.000,108840.000,134798.000,451366.000,510072.000,559734.000,592146.000,626652.000,703279.000,748325.000,772481.000,757233.000,843146.000,903858.000,952479.000,950400.000,1030625.000,1095520.000,1143553.000,1508390.000,1540853.000,1572856.000,1545057.000,1470543.000,1526635.000,1326080.000,1317114.000,1308488.000,1325254.000,1359598.000,1331620.000,1426487.000,1456555.000,1466360.000,1459583.000,1463077.000,1443671.000,1403267.000,1363922.000,1237531.000,1209179.000,1240562.000,1203795.000,1209487.000,1191963.000,1240844.000,1228584.000,1208464.000,1251871.000,1314456.000,1328928.000
2.03.01,Capital Social Realizado,70971.000,70971.000,82010.000,82010.000,100751.000,100751.000,100751.000,100751.000,377048.000,377048.000,377048.000,377048.000,377048.000,377048.000,377048.000,377048.000,377048.000,377048.000,377048.000,600000.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000,987549.000
2.03.02,Reservas de Capital,0.000,0.000,0.000,0.000,276297.000,276297.000,276297.000,276297.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3398.000,-3398.000,-3398.000,-3398.000,-3398.000,-3398.000,-3398.000,-13347.000,-3259.000,-3485.000,-2619.000,-3066.000
2.03.03,Reservas de Reavaliação,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.04,Reservas de Lucros,127133.000,135156.000,6872.000,9548.000,77059.000,92673.000,92924.000,102301.000,250190.000,254448.000,257608.000,258106.000,380185.000,388155.000,388296.000,391774.000,573352.000,581984.000,586200.000,366227.000,520841.000,497996.000,462537.000,420340.000,482994.000,485799.000,229188.000,197577.000,320939.000,321777.000,324513.000,323114.000,438938.000,440441.000,441726.000,441387.000,475528.000,474441.000,473130.000,473130.000,253380.000,253380.000,253532.000,253380.000,225336.000,225336.000,226904.000,226788.000,224174.000,226356.000,210815.000,211561.000
2.03.05,Lucros/Prejuízos Acumulados,0.000,31186.000,23793.000,46525.000,0.000,42544.000,91407.000,113925.000,0.000,71783.000,113669.000,137327.000,0.000,77943.000,138514.000,183657.000,0.000,71593.000,132272.000,177326.000,0.000,55308.000,122770.000,137168.000,0.000,53287.000,109343.000,131988.000,0.000,15928.000,47536.000,20957.000,0.000,28565.000,37085.000,30647.000,0.000,-18319.000,-57412.000,-96757.000,0.000,-28352.000,2879.000,-33736.000,0.000,-17524.000,29789.000,27594.000,0.000,41451.000,118711.000,132884.000
2.03.06,Ajustes de Avaliação Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.07,Ajustes Acumulados de Conversão,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.08,Outros Resultados Abrangentes,-4929.000,-4381.000,-3835.000,-3285.000,-2741.000,-2193.000,-1645.000,-1128.000,-586.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.09,Participação dos Acionistas Não Controladores,23.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
