cd_conta,conta,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,379291.000,454827.000,373594.000,488205.000,803365.000,874403.000,932469.000,978063.000,1249163.000,1501718.000,1543685.000,1843160.000,1848588.000,1929063.000,1972461.000,2023206.000,2018564.000,2055916.000,2071153.000,2102770.000,2507874.000,2517109.000,2519244.000,2522888.000,2429560.000,2742672.000,2599205.000,2503973.000,2559156.000,2482046.000,3026129.000,2929329.000,3091485.000,3151606.000,3257810.000,3174687.000,3092589.000,3333740.000,3293902.000,3476907.000,3392077.000,3370156.000,3481218.000,3428096.000,3488933.000,3366504.000,3512696.000,3424488.000,3456087.000,3410743.000,3377912.000,3358031.000
1.01,Ativo Circulante,74055.000,106187.000,140497.000,119358.000,406410.000,436698.000,470722.000,445485.000,359356.000,369882.000,413336.000,702275.000,497460.000,567054.000,678084.000,720334.000,702195.000,712514.000,710398.000,862105.000,1265461.000,1263302.000,1252836.000,1245768.000,1143639.000,1172076.000,936939.000,816268.000,644545.000,562590.000,1133904.000,1082120.000,1082299.000,989329.000,910943.000,800559.000,717202.000,615082.000,625528.000,774258.000,752637.000,725655.000,792364.000,730966.000,874528.000,752982.000,930832.000,859347.000,986134.000,949512.000,952940.000,948585.000
1.01.01,Caixa e Equivalentes de Caixa,17182.000,19833.000,61476.000,19887.000,217260.000,221604.000,195819.000,70267.000,73248.000,45711.000,34128.000,82824.000,69999.000,56973.000,65765.000,100742.000,62036.000,51124.000,68719.000,166388.000,279286.000,300229.000,281991.000,358183.000,314731.000,516989.000,313825.000,276850.000,215173.000,170934.000,699537.000,704012.000,679933.000,551991.000,457511.000,390368.000,213704.000,107269.000,88344.000,226051.000,180764.000,133253.000,149331.000,139318.000,215267.000,140795.000,315851.000,269504.000,370728.000,316936.000,250983.000,280612.000
1.01.02,Aplicações Financeiras,0.000,0.000,0.000,0.000,84311.000,86377.000,88619.000,207316.000,63418.000,0.000,0.000,256897.000,213135.000,168657.000,183037.000,271140.000,337547.000,285666.000,272596.000,259438.000,632427.000,556513.000,532980.000,618139.000,606167.000,359460.000,242985.000,228756.000,91290.000,11356.000,624.000,654.000,1176.000,36995.000,15022.000,16998.000,77360.000,73342.000,46305.000,43570.000,60251.000,95457.000,60565.000,44674.000,77585.000,83943.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.03,Contas a Receber,47454.000,77501.000,67541.000,83986.000,90641.000,115795.000,172220.000,155653.000,201321.000,304528.000,362643.000,347646.000,192251.000,317486.000,395796.000,321650.000,272773.000,340275.000,316295.000,394273.000,317358.000,370061.000,395218.000,237588.000,185560.000,258645.000,331739.000,274858.000,286967.000,320409.000,378562.000,338421.000,363718.000,360519.000,399079.000,350007.000,383031.000,377116.000,434985.000,440376.000,438743.000,438064.000,517019.000,487517.000,520047.000,461220.000,531981.000,507736.000,545054.000,538945.000,592120.000,568923.000
1.01.04,Estoques,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,4425.000,3079.000,2231.000,4194.000,2513.000,2163.000,2568.000,3581.000,3289.000,5432.000,3890.000,2229.000,7308.000,9216.000,11419.000,13599.000,10758.000,9205.000,11995.000,14279.000,11544.000,10992.000,12735.000,10228.000,8254.000,9145.000,13138.000,10987.000,13917.000,14816.000,16040.000,13974.000,12556.000,16343.000,17135.000,18797.000,22422.000,19176.000,21028.000,21303.000,24922.000,23661.000,27839.000,27933.000,26037.000,29805.000,39254.000,52044.000,42053.000,45804.000,51479.000,46003.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,4994.000,5774.000,9249.000,11291.000,11685.000,10759.000,11496.000,8668.000,18080.000,14211.000,12675.000,12679.000,14767.000,14722.000,22067.000,13203.000,19081.000,26244.000,40793.000,27727.000,24846.000,25507.000,29912.000,21630.000,28927.000,27837.000,35252.000,24817.000,37198.000,45075.000,39141.000,25059.000,24916.000,23481.000,22196.000,24389.000,20685.000,38179.000,34866.000,42958.000,47957.000,35220.000,37610.000,31524.000,35592.000,37219.000,43746.000,30063.000,28299.000,47827.000,58358.000,53047.000
1.02,Ativo Não Circulante,305236.000,348640.000,233097.000,368847.000,396955.000,437705.000,461747.000,532578.000,889807.000,1131836.000,1130349.000,1140885.000,1351128.000,1362009.000,1294377.000,1302872.000,1316369.000,1343402.000,1360755.000,1240665.000,1242413.000,1253807.000,1266408.000,1277120.000,1285921.000,1570596.000,1662266.000,1687705.000,1914611.000,1919456.000,1892225.000,1847209.000,2009186.000,2162277.000,2346867.000,2374128.000,2375387.000,2718658.000,2668374.000,2702649.000,2639440.000,2644501.000,2688854.000,2697130.000,2614405.000,2613522.000,2581864.000,2565141.000,2469953.000,2461231.000,2424972.000,2409446.000
1.02.01,Ativo Realizável a Longo Prazo,8136.000,10349.000,9414.000,12180.000,10589.000,10309.000,10924.000,36891.000,122205.000,120020.000,120705.000,119346.000,306523.000,315354.000,245507.000,251935.000,257007.000,266348.000,271699.000,143555.000,147067.000,149433.000,159277.000,164173.000,171663.000,177532.000,207129.000,213166.000,227438.000,233813.000,246193.000,256914.000,268625.000,283869.000,286720.000,294561.000,303738.000,373571.000,380481.000,395601.000,354598.000,290107.000,300574.000,325139.000,228008.000,249373.000,235914.000,251192.000,220836.000,224527.000,233776.000,248292.000
1.02.02,Investimentos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1309.000,1548.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.02.03,Imobilizado,267054.000,278002.000,166231.000,289194.000,315517.000,351960.000,374332.000,410520.000,525787.000,596479.000,603619.000,607287.000,612499.000,615260.000,615598.000,615680.000,624517.000,641341.000,652909.000,661815.000,666835.000,676423.000,681185.000,688460.000,689891.000,970789.000,1034705.000,1050757.000,1126527.000,1128923.000,1094220.000,1035524.000,1023826.000,1027833.000,1057984.000,1042605.000,1008205.000,988762.000,1005436.000,1015470.000,1080868.000,1145001.000,1186291.000,1171914.000,1194611.000,1178463.000,1160411.000,1126550.000,1090522.000,1086004.000,1046761.000,1019063.000
1.02.04,Intangível,30046.000,60289.000,57452.000,67473.000,70849.000,75436.000,76491.000,85167.000,241815.000,415337.000,406025.000,414252.000,432106.000,431395.000,433272.000,435257.000,434845.000,435713.000,436147.000,435295.000,428511.000,427951.000,425946.000,424487.000,424367.000,422275.000,420432.000,423782.000,560646.000,556720.000,551812.000,554771.000,716735.000,850575.000,1000854.000,1035414.000,1063444.000,1356325.000,1282457.000,1291578.000,1203974.000,1209393.000,1201989.000,1200077.000,1191786.000,1185686.000,1185539.000,1187399.000,1158595.000,1150700.000,1144435.000,1142091.000
