especie,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,1251392669,1376654532,1380947292,1383152570,1386848066,1390615155,ON
TOTAL,1251392669,1376654532,1380947292,1383152570,1386848066,1390615155,TOTAL
