cd_conta,ds_conta,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,195726.0,243032.0,253736.0,258976.0,259277.0,270405.0,292674.0,255520.0,263142.0,275564.0,279462.0,258750.0,261845.0,272718.0,276146.0,262156.0,235863.0,140574.0,259433.0,292917.0,285180.0,283212.0,298477.0,269703.0,275157.0,266517.0,280755.0,262580.0,289650.0,299416.0,302330.0,288188.0,280709.0,317736.0,317879.0,300668.0,307063.0,303567.0,328347.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-121658.0,-148991.0,-150291.0,-170079.0,-182804.0,-184524.0,-204620.0,-184632.0,-190404.0,-202899.0,-203589.0,-190646.0,-191778.0,-199900.0,-201948.0,-194423.0,-195150.0,-158784.0,-202781.0,-206750.0,-200362.0,-194614.0,-193922.0,-191632.0,-188950.0,-180670.0,-197241.0,-192400.0,-190217.0,-209538.0,-214493.0,-200534.0,-200092.0,-219575.0,-218449.0,-223219.0,-234272.0,-212944.0,-236606.0
3.03,Resultado Bruto,74068.0,94041.0,103445.0,88897.0,76473.0,85881.0,88054.0,70888.0,72738.0,72665.0,75873.0,68104.0,70067.0,72818.0,74198.0,67733.0,40713.0,18210.0,56652.0,49747.0,84818.0,88598.0,104555.0,78071.0,86207.0,85847.0,83514.0,70180.0,99433.0,89878.0,87837.0,87654.0,80617.0,98161.0,99430.0,77449.0,72791.0,90623.0,91741.0
3.04,Despesas/Receitas Operacionais,-51407.0,-69824.0,-72243.0,-66365.0,-51550.0,-53998.0,-50760.0,-94651.0,-40703.0,-43814.0,-40090.0,-27487.0,-33967.0,-37087.0,-33868.0,-37238.0,-41909.0,-45312.0,-37120.0,-50104.0,-51908.0,-54972.0,-64148.0,-96840.0,-76275.0,-67698.0,-96571.0,-117241.0,-74482.0,-67056.0,-70048.0,-114315.0,-76586.0,-54246.0,-54859.0,-56957.0,-51384.0,-58720.0,-48207.0
3.04.02,Despesas Gerais e Administrativas,-47437.0,-68208.0,-64233.0,-77397.0,-53506.0,-56365.0,-54283.0,-51984.0,-41661.0,-47561.0,-44056.0,-42439.0,-36729.0,-39870.0,-39612.0,-42812.0,-41844.0,-42598.0,-40655.0,-47059.0,-57573.0,-67465.0,-65997.0,-70899.0,-75450.0,-68202.0,-89036.0,-105726.0,-77210.0,-72727.0,-70329.0,-104811.0,-73091.0,-55208.0,-54077.0,-66221.0,-48695.0,-61363.0,-70039.0
3.04.05,Outras Despesas Operacionais,-5099.0,-4224.0,-11564.0,-8184.0,-1513.0,-1099.0,-334.0,-45721.0,-2384.0,-49.0,-194.0,-6103.0,-1470.0,-1428.0,-1271.0,-3770.0,-3946.0,-4375.0,-521.0,-5708.0,-2296.0,-10178.0,-1291.0,-1878.0,-3705.0,-2172.0,-10512.0,-14061.0,-272.0,-3139.0,-505.0,-3064.0,-3495.0,-962.0,-782.0,-710.0,-2689.0,-2643.0,-21832.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,1129.0,2608.0,3554.0,2848.0,3469.0,3466.0,3857.0,3054.0,3342.0,3698.0,3772.0,4081.0,4232.0,4211.0,4473.0,4346.0,3881.0,1661.0,3014.0,3705.0,3369.0,2315.0,3140.0,-2871.0,2880.0,2676.0,2977.0,2546.0,2456.0,2532.0,-224.0,1392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,22661.0,24217.0,31202.0,22532.0,24923.0,31883.0,37294.0,-23763.0,32035.0,28851.0,35783.0,40617.0,36100.0,35731.0,40330.0,30495.0,-1196.0,-63522.0,19532.0,36063.0,32910.0,33626.0,40407.0,-18769.0,9932.0,18149.0,-13057.0,-47061.0,24951.0,22822.0,17789.0,-26661.0,4031.0,43915.0,44571.0,20492.0,21407.0,31903.0,43534.0
3.06,Resultado Financeiro,-6948.0,-20738.0,-20528.0,-17779.0,-9791.0,-21992.0,-18564.0,-27913.0,-16744.0,-18689.0,-16785.0,-15020.0,-20712.0,-20678.0,-19083.0,-16475.0,-17670.0,-16032.0,-15509.0,-14733.0,-17679.0,-18695.0,-24287.0,-25057.0,-34661.0,-40536.0,-54413.0,-71587.0,-50765.0,-64409.0,-57506.0,-65690.0,-71143.0,-40276.0,-34601.0,-62439.0,-39572.0,-37943.0,-21460.0
