especie,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,118292816,118292816,118292816,118292816,118292816,118292816,118292816,118292816,152359482,ON
TOTAL,118292816,118292816,118292816,118292816,118292816,118292816,118292816,118292816,152359482,TOTAL
