cd_conta,conta,2015T1,2015T3,2015T4,2016T1,2016T3,2016T4,2017T1,2017T3,2017T4,2018T1,2018T3,2018T4,2019T1,2019T3,2019T4,2020T1,2020T3,2020T4,2021T1,2021T3,2021T4,2022T1,2022T3,2022T4,2023T1,2023T3,2023T4,2024T1,2024T3,2024T4,2025T1,2025T3
1,Ativo Total,419923.908,475202.481,456320.797,451807.735,432557.031,402863.04,420899.747,409395.636,426871.171,445213.587,509921.928,479055.285,524628.837,560832.694,536183.36,693539.139,774148.73,723270.108,776486.763,786267.744,773105.749,736779.235,872869.137,843925.442,858653.193,856553.753,828603.034,846225.568,1033924.921,1094079.584,1063020.213,1109106.805
1.01,Ativo Circulante,197392.543,217623.647,194325.325,205326.109,204600.729,182376.792,205229.083,195278.939,207167.206,223101.954,253284.248,225959.878,261570.352,271771.449,245157.432,337415.911,398166.302,370259.748,398312.708,422464.783,399908.738,391150.072,476128.821,437650.859,446418.61,438422.516,419748.471,432990.605,604974.665,614642.039,594884.916,652646.763
1.01.01,Caixa e Equivalentes de Caixa,43412.731,56470.495,42366.306,43383.028,81021.545,41768.236,47714.914,53157.217,60009.076,55351.328,64827.851,52077.491,56247.788,57712.739,45134.791,76953.052,149223.395,144007.644,134676.065,148870.943,64454.187,50381.031,114664.058,118313.927,108882.615,169496.189,162911.185,146652.537,302232.734,62197.235,245294.715,338149.521
1.01.02,Aplicações Financeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231581.135,0.0,0.0
1.01.03,Contas a Receber,77775.377,76602.137,61986.48,85180.729,54828.984,61672.775,84821.595,63988.058,63799.965,88161.384,73591.877,59224.671,93975.279,89864.193,70556.234,108885.963,118869.055,90944.611,104897.852,106989.631,102408.05,139908.349,128322.155,101228.852,123749.523,77612.839,74769.552,98872.598,89701.081,92892.552,113928.955,85188.32
1.01.04,Estoques,67117.512,76129.74,78930.511,70872.25,65001.042,71507.996,67162.498,70253.828,73825.602,75109.808,97027.915,96887.206,90039.982,102899.401,112457.603,129026.143,110386.938,108961.731,128825.125,132426.672,170864.314,158957.163,172664.851,168176.111,166016.944,148388.596,148580.988,148284.449,143910.905,166467.309,169040.58,157124.302
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,3924.145,4052.038,3887.957,1337.624,1352.418,1516.354,1669.866,3819.372,4436.773,1513.461,2738.255,1866.23,3061.469,1682.841,2126.263,2430.184,2885.687,2665.95,4064.384,6088.583,44650.28,22856.129,26332.398,23450.607,13332.701,9061.901,8694.85,9520.151,19189.818,23426.836,22233.084,23146.167
1.01.07,Despesas Antecipadas,1116.608,741.333,1279.194,906.273,750.319,1204.157,1062.217,1212.093,1231.11,989.084,911.809,1567.737,1276.544,1094.874,2049.149,1952.521,1637.386,2893.968,2612.232,1650.88,3206.836,2230.307,2183.757,3565.972,3011.4,2760.927,4297.298,3420.148,3765.632,6021.601,4392.155,3513.584
1.01.08,Outros Ativos Circulantes,4046.17,3627.904,5874.877,3646.205,1646.421,4707.274,2797.993,2848.371,3864.68,1976.889,14186.541,14336.543,16969.29,18517.401,12833.392,18168.048,15163.841,20785.844,23237.05,26438.074,14325.071,16817.093,31961.602,22915.39,31425.427,31102.064,20494.598,26240.722,46174.495,32055.371,39995.427,45524.869
1.02,Ativo Não Circulante,222531.365,257578.834,261995.472,246481.626,227956.302,220486.248,215670.664,214116.697,219703.965,222111.633,256637.68,253095.407,263058.485,289061.245,291025.928,356123.228,375982.428,353010.36,378174.055,363802.961,373197.011,345629.163,396740.316,406274.583,412234.583,418131.237,408854.563,413234.963,428950.256,479437.545,468135.297,456460.042
1.02.01,Ativo Realizável a Longo Prazo,2802.888,3116.368,3134.625,5006.201,8154.352,3715.045,3867.779,4129.493,4382.451,4904.498,7336.422,4985.048,6715.929,12019.39,4905.252,7947.599,11335.498,4951.346,5755.675,6189.071,6067.44,15332.479,9458.446,9539.838,8661.84,8868.406,8968.126,9307.303,9756.385,9960.636,11746.621,13594.381
1.02.02,Investimentos,1220.186,1467.323,1434.039,1427.357,1685.321,1846.223,1799.059,1798.851,1871.651,1879.555,2233.207,2166.075,2177.463,2316.667,2247.455,2854.815,3084.655,2853.775,3114.087,2979.979,3091.784,2615.147,2962.923,2864.696,2793.299,2755.443,2668.967,2749.515,2984.503,3681.102,3424.545,3183.093
1.02.03,Imobilizado,217578.316,252045.114,256546.664,239247.988,217233.599,214105.708,209253.006,207229.242,212488.648,214416.002,245637.679,244385.494,252579.787,273077.693,282216.185,343466.075,359685.562,343395.363,367518.025,353012.968,362323.45,325985.819,382509.495,392171.21,398646.03,403367.947,394228.051,397337.012,412001.045,461004.526,447139.711,432588.241
1.02.04,Intangível,929.975,950.029,880.144,800.08,883.03,819.272,750.82,959.111,961.215,911.578,1430.372,1558.79,1585.306,1647.495,1657.036,1854.739,1876.713,1809.876,1786.268,1620.943,1714.337,1695.718,1809.452,1698.839,2133.414,3139.441,2989.419,3841.133,4208.323,4791.281,5824.42,7094.327
