especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,8759925,8759925,8759925,8759925,8759925,8759925,8459925,8196525,8174413,8174413,8091371,8071571,8071571,8347011,8599452,ON
PN,12913750,12949533,13005120,13056020,13056020,13164095,12455405,11976705,11882481,11926570,11463155,11244732,11244732,11735604,11914758,PN
TOTAL,21673675,21709458,21765045,21815945,21815945,21924020,20915330,20173230,20056894,20100983,19554526,19316303,19316303,20082615,20514210,TOTAL
