especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,47019192,47137539,47137539,47137539,8439322,34581627,46445314,46445314,46445314,46445314,46445314,46445314,46445314,46445314,51089845,ON
PN,94038384,94275078,94275078,94275078,7704716,13001621,18242898,18242898,38823733,42043312,53723119,72373492,80189120,80189120,88208032,PN
TOTAL,141057576,141412617,141412617,141412617,16144038,47583248,64688212,64688212,85269047,88488626,100168433,118818806,126634434,126634434,139297877,TOTAL
