especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,24638175,257090672,2480260,2480260,2480260,2480260,2480260,2480260,2480260,2480260,2480260,2480260,2480260,9921040,9921040,ON
PN,22762838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PN
TOTAL,47401013,257090672,2480260,2480260,2480260,2480260,2480260,2480260,2480260,2480260,2480260,2480260,2480260,9921040,9921040,TOTAL
