Ticker,Preço_Fechamento,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
EMAE3,Preço de Fechamento Ajustado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,15.06,15.27,15.27,15.48,15.48,16.08,20.54,21.52,21.52,21.94,21.94,22.63,22.63,22.63,22.63,24.3,24.3,25.46,20.56,68.51,68.45,70.0,70.0,70.0,150.0
EMAE4,Preço de Fechamento Ajustado,6.0,4.58,3.92,4.69,4.26,5.02,4.44,4.18,5.12,5.66,5.61,4.51,4.66,3.98,3.74,3.41,3.26,3.55,2.86,2.35,2.12,2.88,2.32,2.62,2.76,3.31,3.51,5.48,5.98,6.35,5.99,6.1,7.57,7.85,10.22,13.75,17.45,16.57,18.87,28.41,20.54,24.18,28.71,60.01,50.97,77.52,67.72,67.48,35.73,31.32,37.42,62.07,36.98,60.82,64.14,57.34,68.01,46.72,38.88,42.0,37.5,30.49,34.9
