especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,385822906,385822906,385822906,385822906,385822906,38582291,38577343,87889174,87889174,87889174,87889174,761136750,797612750,785167052,770992429,ON
PN,578115845,578115845,578115845,578115845,578115845,57811584,54793994,0,0,0,0,362542160,435494160,439642726,435368756,PN
TOTAL,963938751,963938751,963938751,963938751,963938751,96393875,93371337,87889174,87889174,87889174,87889174,1123678910,1233106910,1224809778,1206361185,TOTAL
