especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2026T1
ON,281689106,367025080,367025080,367025080,452088853,530640068,530640068,539943630,539943630,545154656,659310925,659310925,ON
PN,476613879,623693016,625068830,626706258,763128273,879901018,897393456,1057488141,1060710334,1075694696,1225996806,1223696087,PN
TOTAL,758302985,990718096,992093910,993731338,1215217126,1410541086,1428033524,1597431771,1600653964,1620849352,1885307731,1883007012,TOTAL
