codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,LTM
P_L,P/L,Valuation,x,6729.0028,6377.6415,12868.9457,16929.2726,13901.9688,32429.4576,4156.1815,6.8385
P_VPA,P/VPA,Valuation,x,684.5205,433.0132,515.0542,1027.5964,1341.4692,875.6847,353.2999,0.5813
EV_EBITDA,EV/EBITDA,Valuation,x,815.6852,513.4413,1174.6218,1860.44,2519.8312,4024.9802,1357.5073,3.81
EV_EBIT,EV/EBIT,Valuation,x,1044.0,673.8534,1647.2797,3760.9081,4706.2456,9678.9395,5043.4301,14.1549
EV_RECEITA,EV/Receita,Valuation,x,112.6773,75.8671,184.8429,365.4732,522.6272,652.7514,219.4485,0.6159
DY,Dividend Yield,Valuation,%,,,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,,,
ROE,ROE,Rentabilidade,%,2.1903,0.9126,1.7543,3.6718,8.507,2.709,5.2487,5.2487
ROA,ROA,Rentabilidade,%,0.3141,0.1347,0.3363,0.8148,1.8881,0.7778,2.0102,2.0102
ROIC,ROIC,Rentabilidade,%,16.2535,12.9333,10.8391,9.5686,9.515,5.8326,3.2795,3.2795
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,13.8138,14.7762,15.7364,19.6444,20.7406,16.2175,16.1655,16.1655
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,0.3597,0.1537,0.4766,1.2861,3.0664,1.4791,3.2586,3.2586
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,1.9839,2.7088,2.0653,1.6032,1.8369,0.1093,1.579,1.579
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,1.669,2.2966,0.9072,0.8863,0.9786,0.0238,0.4114,0.4114
ICJ,ICJ,Endividamento,x,0.7938,0.6691,0.6689,0.7879,0.8982,0.8193,0.6877,0.6877
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,11.3658,15.1594,26.5309,14.6093,15.4427,12.6127,26.0656,26.0656
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.6121,1.5631,1.8234,2.0843,1.791,2.6115,1.7167,1.7167
LIQ_SECA,Liquidez Seca,Liquidez,x,1.1598,1.0696,1.4496,1.6669,1.4539,2.2705,1.3112,1.3112
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.8185,0.8089,0.9568,0.9489,0.8877,1.1344,1.1222,1.1222
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.8732,0.8714,0.619,0.625,0.5698,0.4463,0.5921,0.5921
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,-9.6486,18.1489,15.1499,-7.3488,-29.7372,-18.6315,43.4072,43.4072
PME,PME,Eficiência,dias,96.9101,104.5109,111.9502,108.5451,106.2102,104.7924,121.4529,121.4529
NCG_RECEITA,NCG/Receita,Eficiência,%,0.1911,8.8674,11.7924,7.3038,2.6247,2.933,18.3634,18.3634
