cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3
1,Ativo Total,7996619.000,7978379.000,8833823.000,8060067.000,9550056.000,9349827.000,9490261.000,9526429.000,11080294.000,10629539.000,11736380.000,12682661.000,14138353.000,14214310.000,14431231.000,14462151.000,16858031.000,16783223.000,16549476.000,17539785.000,20528253.000,18743437.000,18708399.000,19038655.000,20775991.000,21598912.000,24407184.000,25099079.000,27536385.000,26662972.000,26015085.000,26876611.000,28304656.000,32632259.000,30466717.000,32131409.000,33269041.000,33923936.000,35138998.000,40219976.000,47709461.000,44064227.000,43365820.000,43736188.000
1.01,Ativo Circulante,5851663.000,5727240.000,6404822.000,5488881.000,6772293.000,6444064.000,6268969.000,6252985.000,7354002.000,6754862.000,7515350.000,8025794.000,8991570.000,8776648.000,8672412.000,8238701.000,10093028.000,9479257.000,8919544.000,9403905.000,12281139.000,10247098.000,10023152.000,10065076.000,11680716.000,12213674.000,14964568.000,15506876.000,17604748.000,16616168.000,15810592.000,16403945.000,17513621.000,19639284.000,17170223.000,18654206.000,18908712.000,19486781.000,20521565.000,25438197.000,31567858.000,27768351.000,26000499.000,24815317.000
1.01.01,Caixa e Equivalentes de Caixa,162428.000,135186.000,170706.000,68105.000,131504.000,170406.000,134658.000,99023.000,183514.000,259763.000,437165.000,326001.000,424020.000,703566.000,790488.000,807210.000,951819.000,927977.000,699421.000,815170.000,1326147.000,991658.000,1011157.000,654282.000,523436.000,1228585.000,3151073.000,2838302.000,3567545.000,4783594.000,5201874.000,5982687.000,6813846.000,7725360.000,6573441.000,6768523.000,6291718.000,7031543.000,8414530.000,10443773.000,14009152.000,11207912.000,7432562.000,4380043.000
1.01.02,Aplicações Financeiras,1847890.000,1732174.000,1989279.000,1452917.000,2253757.000,1824557.000,2231680.000,1792581.000,2924806.000,2078583.000,3039551.000,3430440.000,3664418.000,2823139.000,3397951.000,2553600.000,3618403.000,2864831.000,2908671.000,2720290.000,4526222.000,3443065.000,2642407.000,2206485.000,3838947.000,4156168.000,5785116.000,5646269.000,6517532.000,5169160.000,4158143.000,3229278.000,3295849.000,4616139.000,3947952.000,4679616.000,4314814.000,4416556.000,4588117.000,5551958.000,7622064.000,6027738.000,6017153.000,5531148.000
1.01.03,Contas a Receber,1860251.000,1819458.000,2269902.000,1755743.000,2182064.000,2134161.000,1574183.000,1289284.000,1622157.000,1692694.000,1416288.000,1354138.000,1775641.000,1642474.000,1556925.000,1643002.000,1979527.000,1858828.000,1449776.000,1547461.000,2139820.000,1958737.000,1704596.000,1909810.000,2135944.000,1777083.000,1369105.000,1402338.000,1977862.000,1420576.000,1126535.000,1335874.000,1870081.000,1695657.000,1576149.000,1610104.000,2321052.000,1362546.000,1504630.000,2576821.000,3365280.000,3169801.000,4844547.000,6352262.000
1.01.04,Estoques,1429537.000,1426153.000,1320162.000,1460543.000,1456898.000,1509732.000,1459093.000,1647227.000,1884234.000,2041567.000,1979627.000,2279071.000,2473266.000,2848460.000,2139261.000,2430784.000,2897069.000,3065644.000,2929434.000,3388994.000,3445605.000,2855567.000,3526869.000,3854650.000,3688057.000,3422899.000,2843328.000,3659789.000,3608451.000,3307182.000,3207755.000,3639626.000,3506678.000,3795014.000,3123935.000,3617884.000,3558531.000,4161827.000,3475650.000,4236984.000,4122456.000,4813480.000,4862434.000,5862408.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,275216.000,350515.000,386833.000,506390.000,477010.000,514246.000,617520.000,722260.000,385995.000,401468.000,387477.000,379274.000,360940.000,405228.000,434318.000,448344.000,268357.000,299713.000,289103.000,376602.000,309428.000,368057.000,408839.000,530736.000,787007.000,721087.000,690425.000,770407.000,811098.000,835015.000,843403.000,967622.000,906836.000,808076.000,886679.000,1006629.000,1243798.000,1402172.000,1435669.000,1469176.000,1240146.000,1449858.000,1725252.000,1479208.000
1.01.07,Despesas Antecipadas,21877.000,34109.000,25732.000,27435.000,24624.000,35392.000,21755.000,21199.000,19995.000,33476.000,33590.000,38618.000,35282.000,50173.000,43646.000,38263.000,40019.000,55178.000,66608.000,65891.000,99954.000,112276.000,73248.000,92124.000,76381.000,105743.000,79463.000,69117.000,59802.000,83768.000,73311.000,76478.000,59036.000,79648.000,83323.000,73845.000,46594.000,73140.000,87105.000,70694.000,65174.000,87879.000,92170.000,67145.000
1.01.08,Outros Ativos Circulantes,254464.000,229645.000,242208.000,217748.000,246436.000,255570.000,230080.000,681411.000,333301.000,247311.000,221652.000,218252.000,258003.000,303608.000,309823.000,317498.000,337834.000,407086.000,576531.000,489497.000,433963.000,517738.000,656036.000,816989.000,630944.000,802109.000,1046058.000,1120654.000,1062458.000,1016873.000,1199571.000,1172380.000,1061295.000,919390.000,978744.000,897605.000,1132205.000,1038997.000,1015864.000,1088791.000,1143586.000,1011683.000,1026381.000,1143103.000
