cd_conta,ds_conta,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3
3.01,Receita de Venda de Bens e/ou Serviços,2083389.000,2131120.000,2229196.000,2944830.000,2252848.000,2437475.000,2367821.000,3143480.000,2436306.000,2565769.000,2666274.000,3665712.000,3133478.000,2639208.000,3077599.000,4550887.000,3391526.000,3631094.000,3653009.000,5470040.000,4095160.000,3978983.000,4036006.000,5816006.000,3933169.000,3942930.000,3966216.000,6261197.000,3570462.000,4100911.000,3839688.000,5533655.000,4021686.000,3815524.000,3934236.000,5918416.000,3552302.000,4411580.000,4238102.000,6754347.000,4057237.000,4672592.000,5128612.000,7432971.000,5232629.000,6953751.000,6277265.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-1448525.000,-1500819.000,-1553367.000,-1956043.000,-1545000.000,-1711297.000,-1666852.000,-2106960.000,-1706754.000,-1796263.000,-1889456.000,-2547210.000,-2250331.000,-1841435.000,-2147535.000,-3087122.000,-2397672.000,-2598292.000,-2567121.000,-3745720.000,-2951840.000,-2911831.000,-2874396.000,-4061603.000,-2842300.000,-2708384.000,-2780099.000,-4373159.000,-2526533.000,-2802264.000,-2637046.000,-3637908.000,-2684022.000,-2521032.000,-2552501.000,-3872674.000,-2325143.000,-2854063.000,-2698410.000,-4184043.000,-2689599.000,-3131518.000,-3424776.000,-4916242.000,-3601207.000,-4550291.000,-4309095.000
3.03,Resultado Bruto,634864.000,630301.000,675829.000,988787.000,707848.000,726178.000,700969.000,1036520.000,729552.000,769506.000,776818.000,1118502.000,883147.000,797773.000,930064.000,1463765.000,993854.000,1032802.000,1085888.000,1724320.000,1143320.000,1067152.000,1161610.000,1754403.000,1090869.000,1234546.000,1186117.000,1888038.000,1043929.000,1298647.000,1202642.000,1895747.000,1337664.000,1294492.000,1381735.000,2045742.000,1227159.000,1557517.000,1539692.000,2570304.000,1367638.000,1541074.000,1703836.000,2516729.000,1631422.000,2403460.000,1968170.000
3.04,Despesas/Receitas Operacionais,-433093.000,-427861.000,-437939.000,-547364.000,-489315.000,-503441.000,-470614.000,-567572.000,-509031.000,-541084.000,-500523.000,-599946.000,-609605.000,-579565.000,-611259.000,-823405.000,-701104.000,-723037.000,-717507.000,-1014034.000,-804265.000,-718330.000,-814827.000,-854321.000,-746563.000,-800184.000,-771682.000,-1042923.000,-787585.000,-835388.000,-789897.000,-1115490.000,-1045211.000,-976052.000,-1018892.000,-1300433.000,-1000259.000,-1086204.000,-1155522.000,-1547592.000,-1181957.000,-1286018.000,-1385702.000,-1839699.000,-1658533.000,-2219187.000,-1675555.000
3.04.02,Despesas Gerais e Administrativas,-32497.000,-41296.000,-32302.000,-33489.000,-30306.000,-38215.000,-30880.000,-205779.000,-74215.000,-32517.000,-86794.000,-166983.000,-91454.000,-92664.000,-102465.000,-147512.000,-116932.000,-132147.000,-135702.000,-194967.000,-158477.000,-169260.000,-199028.000,-224483.000,-192358.000,-188352.000,-198497.000,-218877.000,-221818.000,-234456.000,-232040.000,-275997.000,-274493.000,-287583.000,-302756.000,-306687.000,-387870.000,-399014.000,-432563.000,-540122.000,-439359.000,-475082.000,-486361.000,-594622.000,-531858.000,-665906.000,-563409.000
3.04.05,Outras Despesas Operacionais,-36044.000,-42383.000,-48310.000,-145186.000,-61015.000,-77254.000,-73642.000,63453.000,-8872.000,-82531.000,-26666.000,-165.000,-21902.000,-34209.000,-20874.000,-44674.000,-14761.000,-19829.000,-20198.000,-44537.000,-14449.000,-24271.000,-51820.000,51671.000,-15921.000,-25133.000,-16727.000,-84308.000,-13051.000,-16045.000,-16671.000,-92184.000,-19573.000,-26693.000,-26245.000,-67551.000,-20737.000,-25946.000,-27564.000,-113765.000,-46488.000,-103370.000,-54020.000,-123044.000,-33975.000,-382380.000,-18600.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,201771.000,202440.000,237890.000,441423.000,218533.000,222737.000,230355.000,468948.000,220521.000,228422.000,276295.000,518556.000,273542.000,218208.000,318805.000,640360.000,292750.000,309765.000,368381.000,710286.000,339055.000,348822.000,346783.000,900082.000,344306.000,434362.000,414435.000,845115.000,256344.000,463259.000,412745.000,780257.000,292453.000,318440.000,362843.000,745309.000,226900.000,471313.000,384170.000,1022712.000,185681.000,255056.000,318134.000,677030.000,-27111.000,184273.000,292615.000
3.06,Resultado Financeiro,-118694.000,-127581.000,-139116.000,-220974.000,-136439.000,-171563.000,-174724.000,-233903.000,-190280.000,-190587.000,-189693.000,-216009.000,-227890.000,-197823.000,-206937.000,-248513.000,-290072.000,-305468.000,-326961.000,-326430.000,-340904.000,-384447.000,-429344.000,-505304.000,-478100.000,-438270.000,-583598.000,-653722.000,-594361.000,-430028.000,-423523.000,-428610.000,-320194.000,-341014.000,-340880.000,-411429.000,-385108.000,-372488.000,-369322.000,-248728.000,-315626.000,-299678.000,-267236.000,-245648.000,-297687.000,165554.000,-284039.000
3.06.01,Receitas Financeiras,60690.000,93731.000,77532.000,53362.000,110374.000,50112.000,158477.000,91046.000,107153.000,66550.000,70081.000,108460.000,63523.000,87986.000,101059.000,127771.000,127784.000,128937.000,151503.000,170935.000,182093.000,153768.000,192808.000,248742.000,261416.000,225006.000,183992.000,222314.000,237726.000,284816.000,248294.000,211846.000,215134.000,221545.000,167969.000,163712.000,216139.000,225669.000,207073.000,319177.000,155449.000,150060.000,151071.000,167794.000,150392.000,487023.000,171496.000
