especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,74000,74000,74000,74000,74000,74000,74000,34000,34000,34000,34000,34000,68000,68000,68000,ON
PN,0,0,0,0,0,0,0,40000,40000,40000,40000,40000,80000,80000,80000,PN
TOTAL,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,148000,148000,148000,TOTAL
