especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,4576432,4576432,4576432,4576432,4576432,7184187,7184187,7184187,7184187,7184187,7184178,35920890,35920890,35920890,35920890,ON
PN,4607026,4607026,4607026,4607026,4607026,7232196,7232196,7232196,7232196,7232196,7232205,36161025,36161025,36161025,36161025,PN
TOTAL,9183458,9183458,9183458,9183458,9183458,14416383,14416383,14416383,14416383,14416383,14416383,72081915,72081915,72081915,72081915,TOTAL
