especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,125495309,126152646,127104860,127490508,128057925,47528517,175586442,175586442,251642480,251866230,251956230,246183856,246308856,246308856,244150740,ON
TOTAL,125495309,126152646,127104860,127490508,128057925,47528517,175586442,175586442,251642480,251866230,251956230,246183856,246308856,246308856,244150740,TOTAL
