cd_conta,ds_conta,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,163995.000,163995.000,163995.000,163995.000,163995.000,160939.107,157883.214,154827.321,151771.429,148715.536,145659.643,142603.750,139547.857,136491.964,133436.071,130380.179,127324.286,124268.393,121212.500,118156.607,115100.714,112044.821,108988.929,105933.036,102877.143,99821.250,96765.357,93709.464,90653.571,87597.679,84541.786,81485.893,78430.000,72734.000,71890.000,71046.000,100455.000,129431.000,138533.000,126097.000,98307.000,133792.000,148143.000,154330.000,171667.000,192949.000,219172.000,235096.000,247627.000,282311.000,327063.000,324697.000,338019.000,347785.000,367255.000,353176.000,370131.000,419530.000,432568.000,412368.000,450060.000,482667.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-81203.000,-81203.000,-81203.000,-81203.000,-81203.000,-80973.857,-80744.714,-80515.571,-80286.429,-80057.286,-79828.143,-79599.000,-79369.857,-79140.714,-78911.571,-78682.429,-78453.286,-78224.143,-77995.000,-77765.857,-77536.714,-77307.571,-77078.429,-76849.286,-76620.143,-76391.000,-76161.857,-75932.714,-75703.571,-75474.429,-75245.286,-75016.143,-74787.000,-64560.000,-58545.000,-52530.000,-74421.000,-76218.000,-79324.000,-75942.000,-67264.000,-84952.000,-78757.000,-77957.000,-86477.000,-85266.000,-85430.000,-83650.000,-97689.000,-113904.000,-101776.000,-114376.000,-120690.000,-126011.000,-128852.000,-139710.000,-137103.000,-155037.000,-165845.000,-147771.000,-162072.000,-180764.000
3.03,Resultado Bruto,82792.000,82792.000,82792.000,82792.000,82792.000,79965.250,77138.500,74311.750,71485.000,68658.250,65831.500,63004.750,60178.000,57351.250,54524.500,51697.750,48871.000,46044.250,43217.500,40390.750,37564.000,34737.250,31910.500,29083.750,26257.000,23430.250,20603.500,17776.750,14950.000,12123.250,9296.500,6469.750,3643.000,8174.000,13345.000,18516.000,26034.000,53213.000,59209.000,50155.000,31043.000,48840.000,69386.000,76373.000,85190.000,107683.000,133742.000,151446.000,149938.000,168407.000,225287.000,210321.000,217329.000,221774.000,238403.000,213466.000,233028.000,264493.000,266723.000,264597.000,287988.000,301903.000
3.04,Despesas/Receitas Operacionais,-42045.000,-42045.000,-42045.000,-42045.000,-42045.000,-42020.179,-41995.357,-41970.536,-41945.714,-41920.893,-41896.071,-41871.250,-41846.429,-41821.607,-41796.786,-41771.964,-41747.143,-41722.321,-41697.500,-41672.679,-41647.857,-41623.036,-41598.214,-41573.393,-41548.571,-41523.750,-41498.929,-41474.107,-41449.286,-41424.464,-41399.643,-41374.821,-41350.000,-39197.000,-34039.000,-28881.000,-43078.000,-68563.000,-59438.000,-47662.000,-46445.000,-42184.000,-49599.000,-56500.000,-58771.000,-63704.000,-77260.000,-85671.000,-81406.000,-77904.000,-127864.000,-101303.000,-108638.000,-103465.000,-105198.000,-100783.000,-113243.000,-130597.000,-124996.000,-121041.000,-126958.000,-146901.000
3.04.02,Despesas Gerais e Administrativas,-42045.000,-42045.000,-42045.000,-42045.000,-42045.000,-42022.857,-42000.714,-41978.571,-41956.429,-41934.286,-41912.143,-41890.000,-41867.857,-41845.714,-41823.571,-41801.429,-41779.286,-41757.143,-41735.000,-41712.857,-41690.714,-41668.571,-41646.429,-41624.286,-41602.143,-41580.000,-41557.857,-41535.714,-41513.571,-41491.429,-41469.286,-41447.143,-41425.000,-39197.000,-34183.500,-29170.000,-42446.000,-68810.000,-48049.000,-47949.000,-46769.000,-43520.000,-47021.000,-54960.000,-59458.000,-64028.000,-68085.000,-77835.000,-81872.000,-89953.000,-105744.000,-96748.000,-110141.000,-104322.000,-86614.000,-97603.000,-114886.000,-131205.000,-109585.000,-114897.000,-127235.000,-143934.000
3.04.05,Outras Despesas Operacionais,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,40747.000,40747.000,40747.000,40747.000,40747.000,37945.071,35143.143,32341.214,29539.286,26737.357,23935.429,21133.500,18331.571,15529.643,12727.714,9925.786,7123.857,4321.929,1520.000,-1281.929,-4083.857,-6885.786,-9687.714,-12489.643,-15291.571,-18093.500,-20895.429,-23697.357,-26499.286,-29301.214,-32103.143,-34905.071,-37707.000,-31023.000,-20694.000,-10365.000,-17044.000,-15350.000,-229.000,2493.000,-15402.000,6656.000,19787.000,19873.000,26419.000,43979.000,56482.000,65775.000,68532.000,90503.000,97423.000,109018.000,108691.000,118309.000,133205.000,112683.000,119785.000,133896.000,141727.000,143556.000,161030.000,155002.000
3.06,Resultado Financeiro,-6951.000,-6951.000,-6951.000,-6951.000,-6951.000,-6849.786,-6748.571,-6647.357,-6546.143,-6444.929,-6343.714,-6242.500,-6141.286,-6040.071,-5938.857,-5837.643,-5736.429,-5635.214,-5534.000,-5432.786,-5331.571,-5230.357,-5129.143,-5027.929,-4926.714,-4825.500,-4724.286,-4623.071,-4521.857,-4420.643,-4319.429,-4218.214,-4117.000,-3140.000,-3312.500,-3485.000,-4778.000,-3357.000,-2436.000,-3329.000,-3490.000,-2736.000,-1385.000,-4040.000,-2529.000,548.000,456.000,-2103.000,-2491.000,648.000,-7955.000,-14274.000,-20175.000,-23904.000,-18814.000,-19483.000,-22134.000,-37821.000,-42565.000,-45720.000,-44146.000,-54179.000
3.06.01,Receitas Financeiras,5363.000,5363.000,5363.000,5363.000,5363.000,5323.357,5283.714,5244.071,5204.429,5164.786,5125.143,5085.500,5045.857,5006.214,4966.571,4926.929,4887.286,4847.643,4808.000,4768.357,4728.714,4689.071,4649.429,4609.786,4570.143,4530.500,4490.857,4451.214,4411.571,4371.929,4332.286,4292.643,4253.000,3172.000,3185.500,3199.000,3326.000,3847.000,3545.000,4740.000,3195.000,3562.000,2656.000,4417.000,5917.000,7825.000,8774.000,6910.000,18111.000,24652.000,16830.000,27374.000,18169.000,29848.000,25129.000,27313.000,33686.000,33456.000,51863.000,27328.000,37707.000,38067.000
