codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,-254.5,11.1224,9.6731,9.1567,6.629,8.9308,10.8145
P_VPA,P/VPA,Valuation,x,1.2851,1.1681,1.2276,1.9993,2.0677,1.3522,0.8738,1.0581
EV_EBITDA,EV/EBITDA,Valuation,x,,7.1247,4.5562,5.4179,5.0218,4.1265,2.7078,3.0017
EV_EBIT,EV/EBIT,Valuation,x,,86.2674,9.0531,8.2361,7.3815,6.0228,4.7483,5.2638
EV_RECEITA,EV/Receita,Valuation,x,,2.3059,1.7999,2.4301,2.5139,1.9425,1.6062,1.7805
DY,Dividend Yield,Valuation,%,,,1.7519,1.3285,1.2374,3.9948,4.3134,3.5621
PAYOUT,Payout,Valuation,%,,,22.9752,15.2077,13.4421,27.428,21.2427,21.2427
ROE,ROE,Rentabilidade,%,,0.4297,9.3394,18.561,20.6007,19.6029,18.9609,18.9609
ROA,ROA,Rentabilidade,%,,0.3324,6.9945,10.7198,10.4417,8.6294,7.3974,7.3974
ROIC,ROIC,Rentabilidade,%,,0.9087,8.9697,15.0252,16.2738,13.1501,12.9381,12.9381
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,32.3641,39.5049,44.8537,50.0597,47.0723,59.317,59.317
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,0.9375,13.8605,19.8199,20.1931,18.1025,16.7859,16.7859
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,-0.7012,-0.045,0.3594,0.6399,1.4861,1.3141,1.3141
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.0387,-0.1047,-0.012,0.1421,0.302,0.7611,0.8239,0.8239
ICJ,ICJ,Endividamento,x,,0.5394,4.5158,4.1099,2.6407,1.8936,1.7604,1.7604
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,63.7609,29.3381,33.7914,11.0571,18.2049,18.2487,12.9543,12.9543
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.5626,3.8367,2.6092,2.8351,2.6221,2.2289,2.7808,2.7808
LIQ_SECA,Liquidez Seca,Liquidez,x,1.3712,3.5534,2.205,2.6547,2.436,2.056,2.5996,2.5996
LIQ_GERAL,Liquidez Geral,Liquidez,x,2.1867,2.3171,2.2388,1.1054,1.0171,0.7036,0.6787,0.6787
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.3432,0.5091,0.4219,0.5028,0.4072,0.3969,0.3969
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,83.5976,108.9158,-54.6153,59.8796,62.4474,47.3115,47.3115
PME,PME,Eficiência,dias,,47.756,79.5861,68.1773,52.9534,68.1789,60.933,60.933
NCG_RECEITA,NCG/Receita,Eficiência,%,,20.9539,20.1072,6.9978,18.3864,22.662,26.8198,26.8198
