cd_conta,conta,2010T4,2011T2,2018T4,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,0.000,1211347.000,1014648.000,1453600.000,1380828.000,1375895.000,1466283.000,1461311.000,1396654.000,1475392.000,1494075.000,1485851.000,1452758.000,1449952.000,1781430.000,1823586.000,1978293.000,2588440.000,2640391.000,2657407.000,2755343.000,2740405.000,3059418.000,3543660.000,3588241.000,3943186.000,3893625.000,3784204.000,4479354.000
2.01,Passivo Circulante,0.000,132999.000,166360.000,157969.000,172387.000,174232.000,171570.000,169479.000,120013.000,143669.000,168959.000,172815.000,170146.000,183294.000,189923.000,213288.000,272281.000,416929.000,424412.000,333519.000,407426.000,387208.000,473372.000,561003.000,595329.000,654618.000,640084.000,554653.000,613425.000
2.01.01,Obrigações Sociais e Trabalhistas,0.000,28698.000,12730.000,22326.000,30306.000,27908.000,18731.000,25407.000,27153.000,19318.000,22103.000,26986.000,28930.000,25592.000,28075.000,31448.000,39477.000,37262.000,38097.000,37265.000,42449.000,67080.000,75949.000,65867.000,77496.000,76491.000,84533.000,67688.000,82972.000
2.01.02,Fornecedores,0.000,32325.000,15703.000,24079.000,26482.000,26670.000,26511.000,29857.000,28051.000,30286.000,40965.000,51384.000,44327.000,43177.000,43491.000,80716.000,75737.000,225253.000,192784.000,114355.000,138679.000,104300.000,186349.000,157355.000,175985.000,162654.000,164695.000,164109.000,201668.000
2.01.03,Obrigações Fiscais,0.000,7631.000,3884.000,4926.000,10288.000,10831.000,8373.000,13529.000,9952.000,8712.000,7687.000,7424.000,13047.000,18217.000,20598.000,11238.000,15113.000,17681.000,14588.000,18973.000,20296.000,15542.000,14369.000,23146.000,19207.000,16374.000,22783.000,24710.000,22568.000
2.01.04,Empréstimos e Financiamentos,0.000,47008.000,125729.000,100570.000,97419.000,99131.000,106046.000,96520.000,49157.000,77450.000,87947.000,81424.000,74688.000,68089.000,65610.000,80787.000,126590.000,107501.000,126787.000,132726.000,170657.000,181644.000,178067.000,293503.000,313375.000,345882.000,348622.000,247164.000,297833.000
2.01.05,Outras Obrigações,0.000,17337.000,8314.000,6068.000,7892.000,9692.000,11909.000,4166.000,5700.000,7903.000,10257.000,5597.000,9154.000,28219.000,32149.000,9099.000,15364.000,29232.000,52156.000,30200.000,35345.000,18642.000,18638.000,21132.000,9266.000,53217.000,19451.000,50982.000,8384.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,0.000,380851.000,97979.000,166476.000,97139.000,94290.000,189816.000,198584.000,181308.000,233824.000,218696.000,207551.000,192248.000,173697.000,459580.000,461069.000,500033.000,932134.000,925663.000,984677.000,954881.000,891577.000,1071974.000,1515432.000,1527188.000,1766594.000,1763401.000,1696054.000,2184161.000
