especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,137618994,137618994,137618994,137618994,137618994,306923979,329548229,330460178,331651893,365111201,365111201,365111201,365111201,365111201,365111201,ON
PN,275062544,275062544,275062544,275062544,275062544,605757559,651006059,652829957,655213387,722132003,722132003,722132003,668729603,667594603,628594603,PN
TOTAL,412681538,412681538,412681538,412681538,412681538,912681538,980554288,983290135,986865280,1087243204,1087243204,1087243204,1033840804,1032705804,993705804,TOTAL
