especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,165841094,165841094,165841094,178138867,178138867,178138867,188395278,188395278,565185834,565185834,565185834,565185834,565185834,600760875,513163701,ON
PN,11858347,11858347,11858347,11858347,11858347,11858347,11858347,11858347,35575041,35575041,35575041,35575041,35575041,0,0,PN
TOTAL,177699441,177699441,177699441,189997214,189997214,189997214,200253625,200253625,600760875,600760875,600760875,600760875,600760875,600760875,513163701,TOTAL
