especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,380669270,380669270,380669270,380669270,380669270,380669270,9516732,9516732,9516732,9516732,9516732,9516732,68090916,68090916,68090916,ON
PN,6560558,6560558,6560558,6560558,6560558,6560558,164014,164014,164014,164014,164014,164014,164014,164014,164014,PN
TOTAL,387229828,387229828,387229828,387229828,387229828,387229828,9680746,9680746,9680746,9680746,9680746,9680746,68254930,68254930,68254930,TOTAL
