Ticker,Preço_Fechamento,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
BMEB3,Preço de Fechamento Ajustado,10.63,9.31,10.02,8.49,9.52,10.65,14.49,18.84,20.9,23.19,36.2,30.77,31.93,32.32,43.81
BMEB4,Preço de Fechamento Ajustado,8.4,7.95,8.38,8.21,8.49,9.12,11.44,15.48,22.0,25.34,36.93,36.82,34.6,39.42,52.74
