cd_conta,conta,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,2133207.0,3272268.0,3312562.0,4715393.0,5047808.0,6250950.0,6532051.0,6585094.0,6902165.0,6767583.0,6912653.0,6829184.0,6885124.0,7872736.0,7708991.0,7437571.0,7454930.0,7201845.0,7897842.0
1.01,Ativo Circulante,293143.0,1376819.0,1376264.0,1032807.0,1181770.0,2175291.0,2423260.0,2132604.0,1469015.0,1254774.0,1296353.0,1147431.0,1209553.0,2119942.0,2001132.0,1569425.0,1573777.0,1135282.0,1388394.0
1.01.01,Caixa e Equivalentes de Caixa,44045.0,268955.0,392406.0,217159.0,156467.0,244999.0,504667.0,361028.0,205972.0,89760.0,78480.0,197184.0,302149.0,411015.0,420687.0,295548.0,315621.0,222608.0,277772.0
1.01.02,Aplicações Financeiras,58537.0,941890.0,764069.0,585655.0,514353.0,1399969.0,1388589.0,1250163.0,721065.0,695724.0,642415.0,310172.0,384688.0,1215647.0,1079673.0,761939.0,702215.0,428940.0,655943.0
1.01.03,Contas a Receber,145122.0,133067.0,165001.0,169847.0,452538.0,442584.0,397043.0,384180.0,364778.0,300529.0,348729.0,360611.0,349761.0,377218.0,362540.0,361095.0,355003.0,329825.0,303528.0
1.01.04,Estoques,1261.0,869.0,1011.0,6552.0,8992.0,8125.0,6840.0,11451.0,4857.0,7376.0,24717.0,7358.0,9436.0,7793.0,8293.0,9766.0,19734.0,14824.0,9504.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,27587.0,25707.0,46645.0,41825.0,34823.0,55957.0,70151.0,99243.0,128600.0,129294.0,166507.0,233927.0,144792.0,79445.0,83339.0,96616.0,100087.0,89363.0,96572.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,16591.0,6331.0,7132.0,11769.0,14597.0,23657.0,55970.0,26539.0,43743.0,32091.0,35505.0,38179.0,18727.0,28824.0,46600.0,44461.0,81117.0,49722.0,45075.0
1.02,Ativo Não Circulante,1840064.0,1895449.0,1936298.0,3682586.0,3866038.0,4075659.0,4108791.0,4452490.0,5433150.0,5512809.0,5616300.0,5681753.0,5675571.0,5752794.0,5707859.0,5868146.0,5881153.0,6066563.0,6509448.0
1.02.01,Ativo Realizável a Longo Prazo,198176.0,280088.0,302388.0,309232.0,387552.0,386926.0,213464.0,323125.0,331181.0,252505.0,265111.0,225864.0,205832.0,286167.0,246724.0,306832.0,231754.0,233142.0,239627.0
1.02.02,Investimentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02.03,Imobilizado,1637099.0,1610695.0,1614191.0,3362911.0,3467479.0,3677771.0,3883790.0,4117368.0,5093416.0,5252217.0,5343730.0,5439745.0,5451380.0,5447113.0,5442194.0,5540758.0,5573251.0,5766318.0,6201546.0
1.02.04,Intangível,4789.0,4666.0,19719.0,10443.0,11007.0,10962.0,11537.0,11997.0,8553.0,8087.0,7459.0,16144.0,18359.0,19514.0,18941.0,20556.0,76148.0,67103.0,68275.0
