especie,2010T4,2011T4,2012T4,2013T4,2014T4,2015T4,2016T4,2017T4,2018T4,2019T4,2020T4,2021T4,2022T4,2023T4,2024T4,2026T1
ON,285309452,285309452,335309452,335309452,335309452,3414193,3414193,3414193,46317035,60429812,106507317,142902713,234784492,27346829,38366082,ON
TOTAL,285309452,285309452,335309452,335309452,335309452,3414193,3414193,3414193,46317035,60429812,106507317,142902713,234784492,27346829,38366082,TOTAL
